queue_id,source_pack,source_row_id,activity_id,post_url,title,theme,prior_status,logged_in_capture_status,comments_status,stop_condition
LI-LOGIN-001,first_ingest,1,7458410505825685505,https://www.linkedin.com/feed/update/urn:li:activity:7458410505825685505/,Why Brier Score Can Pick the Wrong Model (And How to Avoid It),Calibracion y seleccion de modelos,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-002,first_ingest,2,7456960883634663424,https://www.linkedin.com/feed/update/urn:li:activity:7456960883634663424/,Integrating a new data source into a production scoring model usually means retraining from scratch.,Model maintenance y nuevas variables,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-003,first_ingest,3,7454786558127161344,https://www.linkedin.com/feed/update/urn:li:activity:7454786558127161344/,"Working on credit risk models, you can discover a whole parallel shelf of metrics typically hidden from mainstre...",Metricas de ranking,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-004,first_ingest,4,7452612214328537088,https://www.linkedin.com/feed/update/urn:li:activity:7452612214328537088/,Not all useful credit research makes it to top headlines.,Economia de Gini y distribuciones score,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-005,first_ingest,5,7449713105552482304,https://www.linkedin.com/feed/update/urn:li:activity:7449713105552482304/,WOE Recalibration: The Fine-Tuning Trick Credit Risk Hasn't Named Yet,WOE recalibration,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-006,first_ingest,6,7439581405879103488,https://www.linkedin.com/feed/update/urn:li:activity:7439581405879103488/,Which observations help (or hurt) your model's Gini?,Debug de Gini,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-007,first_ingest,7,7437407111698984960,https://www.linkedin.com/feed/update/urn:li:activity:7437407111698984960/,On Credit: Scoring Foundations in the Age of AI is now available digitally!,Libro y fundamentos,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-008,first_ingest,8,7436682459037089793,https://www.linkedin.com/feed/update/urn:li:activity:7436682459037089793/,"Most credit scorecards use main effects only: one feature, one bin, one WOE value.",Scorecards con interacciones GBDT,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-009,first_ingest,9,7435957418662207488,https://www.linkedin.com/feed/update/urn:li:activity:7435957418662207488/,Officially AWS Certified Generative AI Developer - Professional (and an Early Adopter too)!,Certificacion GenAI/AWS,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-010,first_ingest,10,7435378973288685568,https://www.linkedin.com/feed/update/urn:li:activity:7435378973288685568/,Had an amazing day today at Data Demystified Summit in Berlin!,Calidad de datos y adopcion analitica,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-011,first_ingest,11,7434266280364498944,https://www.linkedin.com/feed/update/urn:li:activity:7434266280364498944/,On Credit: Scoring Foundations in the Age of AI is Live,Libro On Credit,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-012,first_ingest,12,7431246513466609664,https://www.linkedin.com/feed/update/urn:li:activity:7431246513466609664/,"Excited to share an update on my book, releasing March 1st as a color paperback!",Codigo y libro On Credit,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-013,first_ingest,13,7429434643583725571,https://www.linkedin.com/feed/update/urn:li:activity:7429434643583725571/,You'll often see claims that Gini score isn't suitable for imbalanced problems.,Gini en datos desbalanceados,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-014,first_ingest,14,7426897722655277074,https://www.linkedin.com/feed/update/urn:li:activity:7426897722655277074/,Loss Given Default (LGD) is a key risk parameter that determines credit loss.,LGD probabilistico,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-015,first_ingest,15,7423998736009375745,https://www.linkedin.com/feed/update/urn:li:activity:7423998736009375745/,Whats a Gini point worth? Some thoughts on model economics,Valor economico de Gini,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-016,first_ingest,16,7421824489165979649,https://www.linkedin.com/feed/update/urn:li:activity:7421824489165979649/,Credit Risk Modeling on AWS,MLOps credit risk en AWS,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-017,first_ingest,17,7421223494132314112,https://www.linkedin.com/feed/update/urn:li:activity:7421223494132314112/,Had an amazing Sunday attending Cafe Cursor in Berlin,Testing estadistico/A-B,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-018,first_ingest,18,7419287581689008128,https://www.linkedin.com/feed/update/urn:li:activity:7419287581689008128/,Credit Risk Modeling on AWS,AWS/credit risk guide,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
LI-LOGIN-019,first_ingest,19,7417475730277670912,https://www.linkedin.com/feed/update/urn:li:activity:7417475730277670912/,Milk or tea first?,Fisher exact test,first_ingest_public_assets_processed,logged_in_rendered_capture_complete,comments_or_links_captured,"Close when logged-in rendered text, visible comments, comment links, and any newly exposed attachments are captured or explicitly blocked."
