scope,artifact,path,path_exists,claim_role
paper4_tables,paper4_v30_academic_contribution_map.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v30_academic_contribution_map.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v30_artifact_registry.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v30_artifact_registry.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v30_blocker_dashboard.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v30_blocker_dashboard.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v30_candidate_registry.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v30_candidate_registry.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v30_claim_artifact_matrix.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v30_claim_artifact_matrix.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v30_powell_readiness_dashboard.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v30_powell_readiness_dashboard.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v30_publishability_triage.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v30_publishability_triage.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_512_feasibility_guard.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_512_feasibility_guard.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_champion_vs_cvar_stress_memo.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_champion_vs_cvar_stress_memo.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_committee_profile_memos.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_committee_profile_memos.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_dynamic_policy_summary.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_dynamic_policy_summary.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_external_macro_source_registry.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_external_macro_source_registry.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_horizon_sensitivity.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_horizon_sensitivity.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_observed_calibration_by_month_grade.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_observed_calibration_by_month_grade.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_path_calibration_diagnostics.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_path_calibration_diagnostics.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_path_family_sensitivity.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_path_family_sensitivity.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_path_regime_register.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_path_regime_register.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_performance_report.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_performance_report.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_policy_adapter_registry.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_policy_adapter_registry.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_policy_pairwise_common_path_ci.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_policy_pairwise_common_path_ci.csv,True,v31-v38 wave artifact
paper4_tables,paper4_v31_ranking_stability.csv,/home/eigenlinux/projects/lending-club-risk-project/reports/paper_material/paper4/tables/paper4_v31_ranking_stability.csv,True,v31-v38 wave artifact
