mdcp_threshold,fairness_gap_threshold,max_gate_pass,mean_gate_pass,distinct_top_policies
0.5,0.35,44,26.333333333333332,1
0.5,0.3,41,25.333333333333332,1
0.6,0.35,25,16.333333333333332,1
0.6,0.3,23,15.666666666666666,1
0.7,0.3,6,4.333333333333333,1
0.7,0.35,6,4.333333333333333,1
0.8,0.3,2,1.6666666666666667,1
0.8,0.35,2,1.6666666666666667,1
0.85,0.3,2,1.6666666666666667,1
0.85,0.35,2,1.6666666666666667,1
0.5,0.2,0,0.0,0
0.5,0.25,0,0.0,0
0.6,0.2,0,0.0,0
0.6,0.25,0,0.0,0
0.7,0.2,0,0.0,0
0.7,0.25,0,0.0,0
0.8,0.2,0,0.0,0
0.8,0.25,0,0.0,0
0.85,0.2,0,0.0,0
0.85,0.25,0,0.0,0
