asset_id_v487,asset_type_v487,source_asset_v487,manuscript_section_v487,insertion_order_v487,draft_caption_v487,caption_accepted_for_draft_v487,asset_caption_pair_ready_v487,layout_ready_dry_run_v487,caption_final_v487,inserted_into_quarto_v487,claim_boundary_v487
T5,table,paper4_v471_formal_claim_boundary_matrix.csv,methods_protocol,1,Formal SPO-DLA claim-boundary matrix. The table supports bounded historical audit language only; formal theorem and CRC guarantee claims remain blocked.,True,True,True,False,False,no formal theorem or CRC guarantee
F4,figure,paper4_fig4_regret_auditability_frontier.png,methods_protocol,2,Regret-auditability frontier context for historical SPO-DLA positioning. The figure does not establish a formal theorem or deployment guarantee.,True,True,True,False,False,no formal SPO-DLA theorem claim
T1,table,paper4_v467_cvar_frontier_probe.csv,results_evidence,3,Local return and tail-risk frontier for the v338-v347-v353 chain. Evidence is local to the comparable universe; full-v55 optimality and working-champion claims remain outside scope.,True,True,True,False,False,no full-v55 optimality or champion claim
F1,figure,paper4_fig5_return_ecl_tail_frontier.png,results_evidence,4,"Return, ECL and tail-risk frontier context. The figure provides visual context for the local frontier and must be read with the current T1 evidence table.",True,True,True,False,False,visual context only; v467 table carries current claim
T2,table,paper4_v468_tight_source_rankings.csv,results_evidence,5,Tight source-governance ranking after the domain refresh. Grade A is retained as the primary blocker; the table does not authorize cap relaxation or fairness certification.,True,True,True,False,False,no source cap approval or mutation
F2,figure,paper4_fig10_mdcp_worst_source_v2.png,results_evidence,6,Worst-source governance coverage context. The figure motivates the source-governance blocker without implying cap approval or legal fairness certification.,True,True,True,False,False,no cap relaxation or legal fairness certification
T4,table,paper4_v470_online_monitoring_proxy_summary.csv,results_evidence,7,Internal online conformal monitoring proxy gates. The evidence is replay-based and internal; external holdout and production monitoring claims remain blocked.,True,True,True,False,False,no production monitoring claim
F3,figure,paper4_fig12_online_method_search.png,results_evidence,8,"Online conformal method-search context. The figure supports internal monitoring proxy discussion only, not production monitoring.",True,True,True,False,False,no external holdout or production monitoring claim
T3,table,paper4_v469_current_frontier_dynamic_gap.csv,discussion_limitations,9,"Dynamic replay gap for the current local frontier. v338 remains the historical dynamic proxy anchor, while v353 lacks a dynamic replay trace.",True,True,True,False,False,no live dynamic deployment language
T6,table,paper4_v472_ifrs9_requirement_audit.csv,discussion_limitations,10,Contractual IFRS9 requirement-gap audit. The table supports proxy and gap language only; contractual cashflow and accounting compliance claims remain blocked.,True,True,True,False,False,no contractual accounting compliance claim
