manual_entry_packet_id_v510,priority_v510,review_domain_v510,reviewer_role_required_v510,manual_entry_packet_ready_v510,candidate_identifier_required_v510,nomination_fields_required_v510,candidate_identifier_prefilled_v510,candidate_identifier_entered_v510,nomination_fields_entered_v510,nomination_signoff_recorded_v510,candidate_nomination_recorded_v510,eligibility_review_allowed_v510,reviewer_assignment_allowed_v510,outcome_capture_allowed_v510,patch_allowed_v510,required_human_action_v510,claim_boundary_v510
manual_capture_01,1,layout_surface,layout_surface_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_02,2,layout_surface,layout_surface_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_03,3,layout_surface,layout_surface_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_04,4,layout_surface,layout_surface_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_05,5,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_06,6,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_07,7,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_08,8,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_09,9,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_10,10,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_11,11,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_12,12,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_13,13,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
manual_capture_14,14,caption_claim_safety,caption_claim_safety_reviewer,True,True,True,False,False,False,False,False,False,False,False,False,enter_candidate_identifier_nomination_fields_and_signoff,candidate resolution manual-entry packet only
