capture_packet_id_v502,priority_v502,outcome_template_id_v502,review_domain_v502,asset_id_v502,target_block_v502,required_fields_v502,packet_ready_v502,reviewer_action_required_v502,real_outcome_prefilled_v502,review_completed_v502,caption_final_v502,patch_allowed_v502,claim_boundary_v502
manual_capture_01,1,layout_outcome_review_01,layout_surface,T1;F1,results_evidence_cvar,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_02,2,layout_outcome_review_02,layout_surface,T2;F2;T4;F3,results_evidence_governance_online,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_03,3,layout_outcome_review_03,layout_surface,T3;T6,discussion_limitations,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_04,4,layout_outcome_review_04,layout_surface,T5;F4,methods_protocol,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_05,5,caption_outcome_caption_review_01,caption_claim_safety,T5,methods_protocol,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_06,6,caption_outcome_caption_review_02,caption_claim_safety,F4,methods_protocol,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_07,7,caption_outcome_caption_review_03,caption_claim_safety,T1,results_evidence_cvar,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_08,8,caption_outcome_caption_review_04,caption_claim_safety,F1,results_evidence_cvar,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_09,9,caption_outcome_caption_review_05,caption_claim_safety,T2,results_evidence_governance_online,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_10,10,caption_outcome_caption_review_06,caption_claim_safety,F2,results_evidence_governance_online,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_11,11,caption_outcome_caption_review_07,caption_claim_safety,T4,results_evidence_governance_online,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_12,12,caption_outcome_caption_review_08,caption_claim_safety,F3,results_evidence_governance_online,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_13,13,caption_outcome_caption_review_09,caption_claim_safety,T3,discussion_limitations,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
manual_capture_14,14,caption_outcome_caption_review_10,caption_claim_safety,T6,discussion_limitations,reviewer_id;review_timestamp_utc;outcome_decision;revision_required;claim_boundary_ok;caption_final_allowed;patch_scope_ok;reviewer_notes,True,True,False,False,False,False,manual capture packet only
