primary_rank_v262,primary_added_loan_id_v262,primary_dropped_loan_id_v262,base_two_swap_pair_rows_v262,source_prefilter_two_swap_pair_rows_v262,source_exact_two_swap_pair_rows_v262,cvar_feasible_two_swap_pair_rows_v262,claim_boundary_v262
0,162604995,156935428,1481495,20314,2,2,bounded relief search from one post-v260 source-prefilter primary swap
1,162604995,159720541,1474395,19465,1,1,bounded relief search from one post-v260 source-prefilter primary swap
2,142448559,127281432,1453164,20486,0,0,bounded relief search from one post-v260 source-prefilter primary swap
3,162604995,152314563,1448651,16657,0,0,bounded relief search from one post-v260 source-prefilter primary swap
4,140861718,154756272,1420715,22015,6,6,bounded relief search from one post-v260 source-prefilter primary swap
5,143384974,154756272,1419014,21797,6,6,bounded relief search from one post-v260 source-prefilter primary swap
6,156192909,156935428,1420988,13916,0,0,bounded relief search from one post-v260 source-prefilter primary swap
7,143298636,154756272,1410498,20684,5,5,bounded relief search from one post-v260 source-prefilter primary swap
8,143029391,154756272,1410498,20684,5,5,bounded relief search from one post-v260 source-prefilter primary swap
9,155252343,154756272,1410306,20662,5,5,bounded relief search from one post-v260 source-prefilter primary swap
10,154899738,154756272,1409590,20545,5,5,bounded relief search from one post-v260 source-prefilter primary swap
11,140861718,152337011,1409572,22883,47,47,bounded relief search from one post-v260 source-prefilter primary swap
12,165985906,156935428,1416053,13453,0,0,bounded relief search from one post-v260 source-prefilter primary swap
13,142547301,154756272,1407643,20306,5,5,bounded relief search from one post-v260 source-prefilter primary swap
14,143384974,152337011,1407851,22662,46,46,bounded relief search from one post-v260 source-prefilter primary swap
15,156192909,159720541,1413961,13276,0,0,bounded relief search from one post-v260 source-prefilter primary swap
16,137677350,154756272,1405334,20027,5,5,bounded relief search from one post-v260 source-prefilter primary swap
17,146255415,156935428,1411093,13110,0,0,bounded relief search from one post-v260 source-prefilter primary swap
18,137151950,127281432,1410268,16125,0,0,bounded relief search from one post-v260 source-prefilter primary swap
19,165985906,159720541,1409170,12878,0,0,bounded relief search from one post-v260 source-prefilter primary swap
20,156012439,127281432,1409030,15905,0,0,bounded relief search from one post-v260 source-prefilter primary swap
21,145085915,156935428,1407965,12775,0,0,bounded relief search from one post-v260 source-prefilter primary swap
22,143298636,152337011,1399577,21546,42,42,bounded relief search from one post-v260 source-prefilter primary swap
23,143029391,152337011,1399577,21546,42,42,bounded relief search from one post-v260 source-prefilter primary swap
24,155252343,152337011,1399393,21522,42,42,bounded relief search from one post-v260 source-prefilter primary swap
