asset_id_v476,asset_type_v476,source_asset_v476,manuscript_section_v476,draft_caption_v476,caption_final_v476,source_claim_or_lane_v476,required_caveat_v476,claim_boundary_v476
T1,table,paper4_v467_cvar_frontier_probe.csv,results_evidence,"Local return/CVaR frontier chain for v338, v347 and v353. The table supports only a local frontier claim; full-v55 proof and working-champion language remain blocked.",False,v467_v353_local_return_cvar_frontier,local v338-v347-v353 chain only,no full-v55 optimality or champion claim
T2,table,paper4_v468_tight_source_rankings.csv,results_evidence,Tight source-governance ranking after the domain refresh. Grade A is documented as the primary source blocker without authorizing cap relaxation.,False,v468_grade_a_primary_blocker_documented,diagnostic source blocker statement only,no source cap approval or mutation
T3,table,paper4_v469_current_frontier_dynamic_gap.csv,discussion_limitations,"Dynamic replay gap for the current local frontier. v338 remains the dynamic proxy anchor, while v353 lacks a dynamic replay trace.",False,v469_v353_dynamic_gap_documented,v353 lacks dynamic replay trace,no live dynamic deployment language
T4,table,paper4_v470_online_monitoring_proxy_summary.csv,results_evidence,Internal online conformal monitoring proxy summary. The evidence is internal and replay-based; external holdout and production monitoring claims remain blocked.,False,v470_online_monitoring_proxy_created,internal proxy only; no external holdout,no production monitoring claim
T5,table,paper4_v471_formal_claim_boundary_matrix.csv,methods_protocol,"Formal SPO-DLA claim boundary matrix. Bounded historical audit language is permitted, while SPO+/DLA theorem and CRC guarantee claims remain blocked.",False,v471_bounded_historical_spo_dla_language,historical/oracle-surrogate audit only,no formal theorem or CRC guarantee
T6,table,paper4_v472_ifrs9_requirement_audit.csv,discussion_limitations,Contractual IFRS9 requirement-gap audit. The table supports proxy and gap language only; contractual/accounting compliance remains blocked.,False,v472_contractual_requirement_gap_documented,requirement audit only,no contractual accounting compliance claim
F1,figure,paper4_fig5_return_ecl_tail_frontier.png,results_evidence,"Return, ECL and tail-risk frontier context. The figure is retained as visual context and must be read with the current v467 local frontier table.",False,cvar_tail_risk,legacy frontier figure; align caption to v467 local claim,visual context only; v467 table carries current claim
F2,figure,paper4_fig10_mdcp_worst_source_v2.png,results_evidence,Worst-source governance coverage context. The figure motivates the source-governance lane without implying legal fairness certification or cap approval.,False,source_governance,source-governance visual context only,no cap relaxation or legal fairness certification
F3,figure,paper4_fig12_online_method_search.png,results_evidence,"Online conformal method-search context. The figure supports internal monitoring proxy discussion, not production monitoring.",False,online_monitoring,internal replay-selected method search,no external holdout or production monitoring claim
F4,figure,paper4_fig4_regret_auditability_frontier.png,methods_protocol,Regret-auditability frontier context for historical SPO-DLA positioning. The figure does not establish a formal theorem.,False,spo_dla,historical audit positioning only,no formal SPO-DLA theorem claim
