policy_id,lane,solver_ok,online_source_month_min,online_width,online_gate_pass,online_efficiency_pass_0p95,ifrs9_readiness,auditability_score_v8,mdcp_gate_v8,cvar_gate_v8,selector_decision_v8,primary_blocker_v8,paper1_artifacts_modified,final_promotion_json_created
v8_mdcp_family_strict_review,mdcp_family_solver,True,0.8,0.9543797192776867,True,False,0.5,0.5750606891282024,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_mdcp_family_committee,mdcp_family_solver,True,0.8,0.9543797192776867,True,False,0.5,0.5389471796488619,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p08_s0p06_e0p20,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.529963424997284,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p08_s0p02_e0p45,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5295591088498839,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p05_s0p10_e0p20,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5289525003982979,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p12_s0p02_e0p20,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5196313350026707,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p05_s0p14_e0p45,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5165092076261265,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p08_s0p10_e0p20,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5132639436839062,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p05_s0p14_e0p20,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5125042577818046,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p02_s0p14_e0p45,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5122229457139679,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p05_s0p06_e0p70,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5121186104743206,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p05_s0p10_e0p45,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5082413179946026,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p08_s0p06_e0p45,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5065298280654875,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_mdcp_family_balanced,mdcp_family_solver,True,0.8,0.9543797192776867,True,False,0.5,0.5024583479768521,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_dfl_surrogate_w0p08_s0p02_e0p70,dfl_surrogate,True,0.8,0.9543797192776867,True,False,0.5,0.5012233425255574,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor80000_iter5_cap135000,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.4962934279983799,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor80000_best,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.4962934279983799,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor80000_iter4_cap150000,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.4901362701048245,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_mdcp_family_relaxed,mdcp_family_solver,True,0.8,0.9543797192776867,True,False,0.5,0.4821469267997442,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor110000_iter5_cap165000,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.4684439882917418,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor110000_best,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.4684439882917418,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor80000_iter2_cap240000,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.4560206759033482,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor110000_iter2_cap240000,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.4560206759033482,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor125000_iter2_cap240000,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.4560206759033482,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor125000_iter5_cap225000,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.45295778156258093,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor125000_best,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.45295778156258093,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor80000_iter1_cap360000,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.43485038601218484,True,True,review,online_efficiency_width_gt_0p95,False,False
v8_cvar_bisect_floor110000_iter1_cap360000,cvar_bisection,True,0.8,0.9543797192776867,True,False,0.5,0.43485038601218484,True,True,review,online_efficiency_width_gt_0p95,False,False
