primary_rank_v257,primary_added_loan_id_v257,primary_dropped_loan_id_v257,base_two_swap_pair_rows_v257,source_prefilter_two_swap_pair_rows_v257,source_exact_two_swap_pair_rows_v257,cvar_feasible_two_swap_pair_rows_v257,claim_boundary_v257
0,153077076,148025050,1641639,42765,6,6,bounded relief search from one post-v255 source-prefilter primary swap
1,162604995,148025050,1622013,39666,6,6,bounded relief search from one post-v255 source-prefilter primary swap
2,153077076,158940609,1561759,30255,1,1,bounded relief search from one post-v255 source-prefilter primary swap
3,156192909,148025050,1558379,29789,1,1,bounded relief search from one post-v255 source-prefilter primary swap
4,165985906,148025050,1553185,29045,1,1,bounded relief search from one post-v255 source-prefilter primary swap
5,146255415,148025050,1547880,28353,1,1,bounded relief search from one post-v255 source-prefilter primary swap
6,145085915,148025050,1544461,27738,1,1,bounded relief search from one post-v255 source-prefilter primary swap
7,162604995,158940609,1542279,27378,1,1,bounded relief search from one post-v255 source-prefilter primary swap
8,160806330,148025050,1520897,24377,0,0,bounded relief search from one post-v255 source-prefilter primary swap
9,142369432,148025050,1508044,22612,0,0,bounded relief search from one post-v255 source-prefilter primary swap
10,153077076,156935428,1502097,21758,1,1,bounded relief search from one post-v255 source-prefilter primary swap
11,153077076,159720541,1494830,20843,1,1,bounded relief search from one post-v255 source-prefilter primary swap
12,148673813,148025050,1488102,20107,0,0,bounded relief search from one post-v255 source-prefilter primary swap
13,162604995,156935428,1482692,19400,1,1,bounded relief search from one post-v255 source-prefilter primary swap
14,156192909,158940609,1479879,19085,1,1,bounded relief search from one post-v255 source-prefilter primary swap
15,162604995,159720541,1475615,18566,1,1,bounded relief search from one post-v255 source-prefilter primary swap
16,165985906,158940609,1474846,18515,1,1,bounded relief search from one post-v255 source-prefilter primary swap
17,154704863,148025050,1470782,18105,0,0,bounded relief search from one post-v255 source-prefilter primary swap
18,146255415,158940609,1469650,18032,1,1,bounded relief search from one post-v255 source-prefilter primary swap
19,158066458,148025050,1468302,17836,0,0,bounded relief search from one post-v255 source-prefilter primary swap
20,157071514,148025050,1468200,17821,0,0,bounded relief search from one post-v255 source-prefilter primary swap
21,153077076,152314563,1468548,17765,1,1,bounded relief search from one post-v255 source-prefilter primary swap
22,160221856,148025050,1466940,17668,0,0,bounded relief search from one post-v255 source-prefilter primary swap
23,145085915,158940609,1466453,17570,1,1,bounded relief search from one post-v255 source-prefilter primary swap
24,142448559,127281432,1454438,20329,1,1,bounded relief search from one post-v255 source-prefilter primary swap
