policy_id,source_family,regime_v45,recommended_cap_v45,effective_cap_v45,max_observed_exposure_share_v45,source_solver_cap_pass_v45,required_cap_relaxation_v45,solver_integration_v45,fair_lending_legal_claim_allowed,claim_boundary_v45
paper1_economic_champion,dti_band,strict,0.1111111111111111,0.1111111111111111,1.0,False,0.8888888888888888,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
paper1_economic_champion,dti_band,committee,0.1111111111111111,0.15888888888888889,1.0,False,0.8411111111111111,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
paper1_economic_champion,dti_band,relaxed,0.1111111111111111,0.2277777777777778,1.0,False,0.7722222222222221,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
paper1_economic_champion,income_band,strict,0.1111111111111111,0.1111111111111111,1.0,False,0.8888888888888888,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
paper1_economic_champion,income_band,committee,0.1111111111111111,0.15888888888888889,1.0,False,0.8411111111111111,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
paper1_economic_champion,income_band,relaxed,0.1111111111111111,0.2277777777777778,1.0,False,0.7722222222222221,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
paper1_economic_champion,income_band__dti_band,strict,0.1111111111111111,0.1111111111111111,1.0,False,0.8888888888888888,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
paper1_economic_champion,income_band__dti_band,committee,0.1111111111111111,0.15888888888888889,1.0,False,0.8411111111111111,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
paper1_economic_champion,income_band__dti_band,relaxed,0.1111111111111111,0.2277777777777778,1.0,False,0.7722222222222221,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
paper1_economic_champion,original_grade,strict,0.1,0.1,0.4571860934354644,False,0.35718609343546437,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
paper1_economic_champion,original_grade,committee,0.1,0.145,0.4571860934354644,False,0.31218609343546444,requires_pooling_or_relaxation,False,observable MDCP/source governance; no protected-attribute legal claim
