lane_id,lane_name,powell_stage,metric_ids,controlled_decision,uncertainty_classes,policy_class,evidence_artifact,current_status,allowed_claim,caveat
L01,Paper Estrella frozen baseline,Stage I/II/III,"M02,M07,M10",do not change final champion,prognostic/model/implementation,CFA,models/final_project_promotion.json,resolved,frozen reference only,Paper 4 may compare but not overwrite
L02,CRPTO policy universe,Stage II,"M02,M07,M10",select funded set under conformal bound,prognostic/model,CFA,paper4_policy_universe.csv,implemented,auditable policy universe,not dynamic
L03,online conformal,Stage II/III,"M07,M08",choose recalibration and alpha schedule,exogenous/prognostic/algorithmic,PFA/CFA,paper4_v9_online_goal_status.json,resolved_historical,coverage/width gate in replay,future-period validation pending
L04,MDCP/source coverage,Stage II,"M05,M10,M12",set source caps and pooling,observational/inferential/goal,CFA/PFA,paper4_v13_mdcp_cap_regime_solver_summary.csv,near_resolved,source governance coverage,no legal fairness claim
L05,CVaR/OCE,Stage II,"M03,M06",set cvar cap and return floor,exogenous/model/algorithmic,CFA,paper4_v13_cvar_stronger_decomposition_frontier.csv,near_resolved,larger-pool tail frontier,not exact full-universe proof
L06,DLA/FVI,Stage II,"M01,M06,M10",choose value features and dynamic book,transitional/model/experimental,DLA/VFA hybrid,paper4_v13_dla_fvi_comparison.csv,near_resolved,working champion evidence,"representative book, not exact Bellman"
L07,SPO/DFL,Stage II,"M02,M09,M10",choose decision-loss training target,prognostic/model/algorithmic,CFA hybrid,paper4_v13_spo_decision_loss_report.csv,near_resolved,temporal regret surrogate,not formal differentiable SPO+
L08,sample paths,Stage II,"M06,M07",choose evaluation base model,experimental/environmental/model,base/evaluation model,paper4_v13_sample_path_macro_calibrated_ci.csv,near_resolved,common random numbers for comparison,not future forecast
L09,IFRS9/SICR proxy,Stage I/II,"M04,M11",choose SICR rule and ECL scenario,observational/exogenous/model,PFA/CFA,paper4_v13_ifrs9_data_blocker_register.csv,data_blocked,proxy ECL sensitivity,no contractual IFRS9 claim
L10,Causal/CATE,Stage I/II,M13,decide if causal policy value can enter policy,inferential/model/goal,information/causal gate,paper4_v13_causal_cate_dossier.csv,theory_blocked,dossier only,no CATE policy value
L11,fairness proxy governance,Stage I/III,"M05,M12",decide allowed fairness language,observational/inferential/goal,PFA governance,paper4_v13_fairness_proxy_governance.csv,data_blocked,proxy governance only,no fair-lending legal claim
L12,selector/claim governance,Stage III,"M10,M11,M12,M13",approve/review/park/kill claims,implementation/communication/goal,PFA governance,paper4_v14_claim_artifact_matrix.csv,implemented_v14,claim-safe lab operation,claim can be blocked despite good score
