priority,claim,claim_status,artifact,quarto_page,claim_boundary_v14,blocker_if_any,no_claim_contractual_ifrs9,no_claim_cate_policy_value,no_claim_fair_lending_legal,caveat
P01,Paper 4 is now framed as Powell metric-decision-uncertainty problem,implemented,paper4_v14_powell_framing_audit.csv,19bc-v14-powell-framing-audit.qmd,framing/governance claim,,False,False,False,judgmental but explicit
P02,Working champion cannot be chosen on return/state value alone,implemented,paper4_v14_metric_pyramid.csv,19bc-v14-powell-framing-audit.qmd,governance claim,,False,False,False,risk and implementation gates remain visible
P03,"Objectives, targets and limits are separated",implemented,paper4_v14_objective_target_limit_registry.csv,19bc-v14-powell-framing-audit.qmd,selector design claim,,False,False,False,thresholds are committee choices
P04,Paper 4 decision inventory is explicit,implemented,paper4_v14_decision_inventory.csv,19bc-v14-powell-framing-audit.qmd,framing claim,,False,False,False,not every decision is automated
P05,Paper 4 uncertainty map covers Powell's 12 classes,implemented,paper4_v14_uncertainty_taxonomy.csv,19bc-v14-powell-framing-audit.qmd,framing claim,,False,False,False,"coverage is conceptual, not measured probability"
P06,Sample-path uncertainty forms are specified without forecast overclaim,implemented,paper4_v14_uncertainty_forms_sample_path_design.csv,19bc-v14-powell-framing-audit.qmd,design claim,external macro calibration pending,False,False,False,internal calibration only
P07,Interaction matrices make judgmental priorities explicit,implemented,paper4_v14_decision_metric_interaction_matrix.csv,19bc-v14-powell-framing-audit.qmd,governance claim,,False,False,False,H/M/L/N are not causal estimates
P08,Base/evaluation model is separated from lookahead/policy model,implemented,paper4_v14_base_vs_lookahead_model_registry.csv,19bc-v14-powell-framing-audit.qmd,architecture claim,,False,False,False,DLA remains representative
P09,v13_fvi_return_recovery remains Paper 4 working champion after Powell audit,implemented_working_only,paper4_v14_working_champion_powell_audit.csv,19bc-v14-powell-framing-audit.qmd,working-lab claim only,deployability gates still open,False,False,False,no Paper Estrella promotion
P10,IFRS9 remains proxy-only,blocked_claim,paper4_v13_ifrs9_data_blocker_register.csv,19bc-v14-powell-framing-audit.qmd,no contractual IFRS9 claim,servicing/DPD/EAD/recovery/macro missing,True,False,False,claim explicitly prohibited
P11,CATE policy value remains blocked,blocked_claim,paper4_v13_causal_cate_dossier.csv,19bc-v14-powell-framing-audit.qmd,no CATE policy-value claim,identification/overlap/sensitivity,False,True,False,claim explicitly prohibited
P12,Fairness remains proxy governance only,blocked_claim,paper4_v13_fairness_proxy_governance.csv,19bc-v14-powell-framing-audit.qmd,no fair-lending legal claim,protected attributes/protocol absent,False,False,True,claim explicitly prohibited
P13,Paper Estrella freeze remains enforced,guardrail_verified,paper4_v14_status.json,19bc-v14-powell-framing-audit.qmd,guardrail claim,,False,False,False,models/final_project_promotion.json not modified
