diagnostic_id_v407,notebook_path_v407,cell_v407,row_v407,rule_code_v407,message_v407,fix_applicability_v407,planned_batch_v407,risk_class_v407,recommended_action_v407,mutation_allowed_v407,claim_boundary_v407
non_e402_001,notebooks/01_eda_lending_club.ipynb,12,33,B007,Loop control variable `name` not used within loop body,unsafe,batch_1_b007_loop_var_rename,low_safe_loop_variable_cleanup,rename unused loop variables to underscore-prefixed names,False,triage only; no notebook mutation in v407
non_e402_002,notebooks/02_feature_engineering.ipynb,32,4,F821,Undefined name `train_fe`,none,batch_3_f821_execution_context_audit,high_execution_context,audit undefined notebook execution dependency before mutation,False,triage only; no notebook mutation in v407
non_e402_003,notebooks/03_pd_modeling.ipynb,37,63,E741,Ambiguous variable name: `l`,none,batch_5_manual_style_cleanup,medium_manual_style,manual readability cleanup after safer batches,False,triage only; no notebook mutation in v407
non_e402_004,notebooks/04_conformal_prediction.ipynb,4,80,SIM108,Use ternary operator `y_prob_test_cal = calibrator.predict(y_prob_test) if calibrator is not None else y_prob_test` instead of `if`-`else`-block,unsafe,batch_5_manual_style_cleanup,medium_manual_style,manual readability cleanup after safer batches,False,triage only; no notebook mutation in v407
non_e402_005,notebooks/04_conformal_prediction.ipynb,25,8,SIM108,Use ternary operator `ead = test[ead_col].values if ead_col in test.columns else np.ones(len(test)) * 15000` instead of `if`-`else`-block,none,batch_5_manual_style_cleanup,medium_manual_style,manual readability cleanup after safer batches,False,triage only; no notebook mutation in v407
non_e402_006,notebooks/10_paper1_cp_robust_opt.ipynb,6,16,B018,Found useless expression. Either assign it to a variable or remove it.,none,batch_2_b018_notebook_display_review,medium_display_semantics,review useless expressions as possible intentional notebook display outputs,False,triage only; no notebook mutation in v407
non_e402_007,notebooks/10_paper1_cp_robust_opt.ipynb,7,9,B018,Found useless expression. Either assign it to a variable or remove it.,none,batch_2_b018_notebook_display_review,medium_display_semantics,review useless expressions as possible intentional notebook display outputs,False,triage only; no notebook mutation in v407
non_e402_008,notebooks/10_paper1_cp_robust_opt.ipynb,8,11,B018,Found useless expression. Either assign it to a variable or remove it.,none,batch_2_b018_notebook_display_review,medium_display_semantics,review useless expressions as possible intentional notebook display outputs,False,triage only; no notebook mutation in v407
non_e402_009,notebooks/11_paper2_ifrs9_e2e.ipynb,5,15,B018,Found useless expression. Either assign it to a variable or remove it.,none,batch_2_b018_notebook_display_review,medium_display_semantics,review useless expressions as possible intentional notebook display outputs,False,triage only; no notebook mutation in v407
non_e402_010,notebooks/11_paper2_ifrs9_e2e.ipynb,6,15,B018,Found useless expression. Either assign it to a variable or remove it.,none,batch_2_b018_notebook_display_review,medium_display_semantics,review useless expressions as possible intentional notebook display outputs,False,triage only; no notebook mutation in v407
non_e402_011,notebooks/11_paper2_ifrs9_e2e.ipynb,7,18,B018,Found useless expression. Either assign it to a variable or remove it.,none,batch_2_b018_notebook_display_review,medium_display_semantics,review useless expressions as possible intentional notebook display outputs,False,triage only; no notebook mutation in v407
non_e402_012,notebooks/12_paper3_mondrian.ipynb,5,17,B018,Found useless expression. Either assign it to a variable or remove it.,none,batch_2_b018_notebook_display_review,medium_display_semantics,review useless expressions as possible intentional notebook display outputs,False,triage only; no notebook mutation in v407
non_e402_013,notebooks/12_paper3_mondrian.ipynb,6,11,B018,Found useless expression. Either assign it to a variable or remove it.,none,batch_2_b018_notebook_display_review,medium_display_semantics,review useless expressions as possible intentional notebook display outputs,False,triage only; no notebook mutation in v407
non_e402_014,notebooks/12_paper3_mondrian.ipynb,7,11,B018,Found useless expression. Either assign it to a variable or remove it.,none,batch_2_b018_notebook_display_review,medium_display_semantics,review useless expressions as possible intentional notebook display outputs,False,triage only; no notebook mutation in v407
non_e402_015,notebooks/12_paper3_mondrian.ipynb,8,10,B018,Found useless expression. Either assign it to a variable or remove it.,none,batch_2_b018_notebook_display_review,medium_display_semantics,review useless expressions as possible intentional notebook display outputs,False,triage only; no notebook mutation in v407
non_e402_016,notebooks/13_model_explainability.ipynb,10,21,B007,Loop control variable `i` not used within loop body,none,batch_1_b007_loop_var_rename,low_safe_loop_variable_cleanup,rename unused loop variables to underscore-prefixed names,False,triage only; no notebook mutation in v407
non_e402_017,notebooks/13_model_explainability.ipynb,14,8,B007,Loop control variable `idx` not used within loop body,none,batch_1_b007_loop_var_rename,low_safe_loop_variable_cleanup,rename unused loop variables to underscore-prefixed names,False,triage only; no notebook mutation in v407
non_e402_018,notebooks/side_projects/10_rapids_gpu_benchmark_lending_club.ipynb,7,77,E712,"Avoid equality comparisons to `True`; use `cudf_df[""rows_match_cpu""]:` for truth checks",unsafe,batch_4_side_project_style_cleanup,medium_side_project_semantics,defer side-project style cleanup until main Paper 4 notebooks stay stable,False,triage only; no notebook mutation in v407
non_e402_019,notebooks/side_projects/10_rapids_gpu_benchmark_lending_club.ipynb,17,56,SIM102,Use a single `if` statement instead of nested `if` statements,none,batch_4_side_project_style_cleanup,medium_side_project_semantics,defer side-project style cleanup until main Paper 4 notebooks stay stable,False,triage only; no notebook mutation in v407
non_e402_020,notebooks/side_projects/10_rapids_gpu_benchmark_lending_club.ipynb,17,65,E712,"Avoid equality comparisons to `False`; use `not quality[""quality_pass""]:` for false checks",unsafe,batch_4_side_project_style_cleanup,medium_side_project_semantics,defer side-project style cleanup until main Paper 4 notebooks stay stable,False,triage only; no notebook mutation in v407
