uncertainty_id,powell_uncertainty_class,paper4_example,affected_metrics,affected_decisions,current_artifact_coverage,unresolved_blocker,stage_readiness,sample_path_implication
U01,observational_errors,"loan attributes, payment status, recoveries, and servicing fields may be mismeasured or absent","ECL, PD, stage, return","fund/reject, SICR rule",data audit and blocker registers,servicing/DPD/recovery panel incomplete,proxy_only,record data-quality flags in paths
U02,exogenous_uncertainty,"future default, prepayment, recoveries, macro shocks, origination volume","return, loss, ECL, final wealth",funded set and capital use,sample paths and replay,external macro/default calibration,near_resolved,simulate common shocks after x_t
U03,prognostic_uncertainty,PD/ECL/return forecasts are imperfect,"regret, ECL, CVaR","solver score, SPO target",PD and conformal artifacts,forecast error not fully contractual,near_resolved,include forecast error distributions
U04,inferential_uncertainty,true borrower state is latent at decision time,"PD, stage, fairness proxy, CATE",approval and stage migration,model features and intervals,hidden borrower risk and unobserved confounding,theory_blocked,stress latent-risk multipliers
U05,experimental_uncertainty,bootstrap/month/sample-path estimates vary by run,"champion score, p95 loss",champion selection,bootstrap and common paths,finite historical replay,near_resolved,report paired intervals
U06,model_uncertainty,choice of PD/LGD/ECL/CVaR/DLA/SPO model changes conclusions,all model-based metrics,solver/model choice,v13 method registry and claims,no single certified base model,near_resolved,scenario model registry
U07,transitional_uncertainty,state transition from loan to repayment/default/recovery is noisy,"cash, outstanding, ECL, final wealth",dynamic funding and reinvestment,DLA trace and sample paths,transition remains proxy,near_resolved,monthly transition model
U08,implementation_uncertainty,decided policy may differ from deployable funding/servicing process,"realized return, compliance",policy deployment and communication,claim matrix only,no field deployment,implementation_blocked,separate computer decision from field action
U09,communication_errors,policy/gate instructions may be misunderstood in documentation or handoff,"auditability, claim safety",claim approval,Quarto and claim matrix,human governance process not tested,near_resolved,explicit no-claim flags
U10,algorithmic_instability,"LP sampling, solver tolerances, random paths, and training seeds can vary","champion score, regret, CVaR",solver/model choice,v13/v14 status and tests,dual certificates/full universe pending,near_resolved,fixed seeds plus sensitivity
U11,goal_uncertainty,"weights between return, coverage, risk, auditability can change by committee",working champion decision,objective/target/limit registry,v14 metric pyramid,thresholds are governance choices,near_resolved,committee threshold scenarios
U12,environmental_uncertainty,macro/regulatory/market regime changes can alter borrower behavior,"default, LGD, prepayment, ECL",capital and risk caps,sample paths,external macro data missing,data_blocked,macro scenario labels and no forecast claim
