requirement_id_v344,met_v344,evidence_artifact_v344,required_next_artifact_v344,claim_boundary_v344
post_v338_one_swap_local_optimality_cleared,True,paper4_v339_post_v338_one_swap_summary.csv,none_for_one_swap_scope,local one-swap evidence only
dynamic_proxy_gate_executed,True,paper4_v340_dynamic_proxy_or_global_bound_after_v338.csv,none_for_static_proxy_scope,periodized proxy replay only
cashflow_online_gate_executed,True,paper4_v341_v338_cashflow_online_ifrs9_gate.csv,future_contractual_or_live_holdout_gate,cashflow proxy gate only; imputation remains
bounded_proxy_gap_repair_tested,True,paper4_v342_v338_proxy_gap_repair_or_branch_price_protocol.csv,none_for_bounded_pool_scope,"bounded-pool infeasibility, not global proof"
expanded_pool_proxy_gap_repair_tested,True,paper4_v343_v338_expanded_pool_or_dual_bound_gate.csv,paper4_v345_v338_source_tight_branch_price_screen.csv,"expanded observed-pool infeasibility, still not full-v55 certificate"
direct_full_v55_mip_within_guard,False,paper4_v344_full_universe_candidate_partition.csv,paper4_v345_v338_source_tight_branch_price_screen.csv,full-v55 binary count exceeds direct-MIP guard
branch_price_dual_bound_loop_executed,False,paper4_v344_dual_bound_requirement_register.csv,paper4_v345_v338_source_tight_branch_price_screen.csv,dual-bound loop not yet executed
valid_full_universe_gap_certificate,False,paper4_v344_claim_blockers.csv,paper4_v345_v338_source_tight_branch_price_screen.csv,no valid branch-price or full-v55 gap certificate
observed_or_contractual_ifrs9_complete,False,paper4_v341_v338_cashflow_online_ifrs9_gate.csv,future_observed_or_contractual_ifrs9_gate,v338 still has imputed proxy loan rows
paper4_final_promotion_absent,True,reports/paper_material/paper4/status,paper4_final_promotion_gate_not_created,final promotion remains forbidden
