policy_id,lane_v12,return_proxy,tail_risk_proxy,auditability_score,state_value_delta,source_artifact,caveat,mean_loss,p95_loss,mean_default_count,return_score,audit_score,state_value_score,tail_score,path_score,working_candidate_score_v12,online_gate_pass_v12,ifrs9_contractual_claim_allowed,fair_lending_legal_claim_allowed,paper1_promotion_allowed,paper4_final_promotion_allowed,registry_rank_v12,registry_decision_v12
v12_cvar_mdcp_colgen_relaxed_k24000_floor125000_cap360000,cvar_mdcp_colgen,135633.49524334644,307395.4792324826,0.4092011724432326,,paper4_v12_cvar_column_generation_frontier.csv,column-generation top-k with MDCP caps; not exact full-universe proof,20525.238464220034,88667.67417713939,17.2125,0.16666666666666666,1.0,0.5,1.0,0.5555555555555556,0.6444444444444445,True,False,False,False,False,1,paper4_working_champion
v12_mdcp_empirical_base,mdcp_empirical_solver,101603.36263566083,78750.00000007875,0.600820761296148,,paper4_v12_mdcp_source_cap_solver_summary.csv,MDCP caps inside solver without CVaR scenario constraint,38789.33922740714,115348.82544860308,26.983333333333334,0.8888888888888888,0.2222222222222222,0.5,0.5833333333333334,1.0,0.638888888888889,True,False,False,False,False,2,paper4_working_challenger
v12_cvar_mdcp_colgen_relaxed_k24000_floor80000_cap250000,cvar_mdcp_colgen,126298.70435513796,250000.0,0.4712588189650133,,paper4_v12_cvar_column_generation_frontier.csv,column-generation top-k with MDCP caps; not exact full-universe proof,28317.53250937713,102984.44687102168,23.920833333333334,0.3333333333333333,0.7777777777777778,0.5,0.8333333333333334,0.6666666666666666,0.6222222222222222,True,False,False,False,False,3,paper4_working_challenger
v12_mdcp_empirical_return_recovery,mdcp_empirical_solver,115311.27841203214,81000.000000081,0.5572637301532677,,paper4_v12_mdcp_source_cap_solver_summary.csv,MDCP caps inside solver without CVaR scenario constraint,34443.696339376955,114890.1303946539,22.808333333333334,0.4444444444444444,0.3333333333333333,0.5,0.75,0.8888888888888888,0.5833333333333333,True,False,False,False,False,4,paper4_working_challenger
v12_mdcp_empirical_tight,mdcp_empirical_solver,74940.561406195,77625.00000009133,0.6060183450020808,,paper4_v12_mdcp_source_cap_solver_summary.csv,MDCP caps inside solver without CVaR scenario constraint,38158.79521504316,108851.42410586307,29.420833333333334,1.0,0.1111111111111111,0.5,0.5,0.7777777777777778,0.5777777777777777,True,False,False,False,False,5,paper4_working_challenger
v12_cvar_mdcp_colgen_relaxed_k24000_floor105000_cap300000,cvar_mdcp_colgen,135633.49524334644,300000.0,0.4108446122726732,,paper4_v12_cvar_column_generation_frontier.csv,column-generation top-k with MDCP caps; not exact full-universe proof,21001.680271171837,78728.34365190819,18.579166666666666,0.16666666666666666,0.8888888888888888,0.5,0.9166666666666666,0.3333333333333333,0.5611111111111111,True,False,False,False,False,6,paper4_working_challenger
v12_fvi_capital_guarded,dla_fitted_value_iteration,,12295.583847446193,,255976.82080603752,paper4_v12_dla_fvi_comparison.csv,"iterative fitted-value rollout, not exact Bellman optimality",,,,0.5,0.5,1.0,0.08333333333333333,0.5,0.5166666666666667,True,False,False,False,False,7,lane_evidence
v12_spo_regret_balanced,spo_regret_surrogate,105192.0642021499,77183.1185617834,0.5300146787674739,,paper4_v12_spo_plus_surrogate_candidates.csv,"SPO-style temporal regret surrogate, not differentiable SPO+ theorem",13778.154456057535,85811.67636114957,8.604166666666666,0.6666666666666666,0.5555555555555556,0.5,0.4166666666666667,0.4444444444444444,0.5166666666666666,True,False,False,False,False,8,lane_evidence
v12_spo_regret_return_recovery,spo_regret_surrogate,109183.91220906646,80928.87741678028,0.5228991391293512,,paper4_v12_spo_plus_surrogate_candidates.csv,"SPO-style temporal regret surrogate, not differentiable SPO+ theorem",14541.175452372341,70454.47702579365,9.329166666666667,0.5555555555555556,0.6666666666666666,0.5,0.6666666666666666,0.1111111111111111,0.5,True,False,False,False,False,9,lane_evidence
v12_fvi_bellman_rollout,dla_fitted_value_iteration,,12919.399985908398,,256729.36365423875,paper4_v12_dla_fvi_comparison.csv,"iterative fitted-value rollout, not exact Bellman optimality",,,,0.5,0.5,0.6666666666666666,0.25,0.5,0.4833333333333333,True,False,False,False,False,10,lane_evidence
v12_spo_regret_audit_guarded,spo_regret_surrogate,103118.49384582244,75087.7391047281,0.5320336110376591,,paper4_v12_spo_plus_surrogate_candidates.csv,"SPO-style temporal regret surrogate, not differentiable SPO+ theorem",13174.627901707061,72090.04802206486,8.166666666666666,0.7777777777777778,0.4444444444444444,0.5,0.3333333333333333,0.2222222222222222,0.4555555555555556,True,False,False,False,False,11,lane_evidence
v12_fvi_return_recovery,dla_fitted_value_iteration,,12421.472295001804,,260447.86045259458,paper4_v12_dla_fvi_comparison.csv,"iterative fitted-value rollout, not exact Bellman optimality",,,,0.5,0.5,0.3333333333333333,0.16666666666666666,0.5,0.4,True,False,False,False,False,12,lane_evidence
