decision_id,decision_name,decision_type,decision_maker,frequency,lag,affected_state_variables,policy_class,evidence_artifact,current_status,caveat
D01,fund or reject a loan,financial_resource,Paper 4 policy engine,monthly/loan-arrival,immediate funding with delayed outcome,"R_t,B_t,x_t,S_t^x,C_t",CFA/PFA/DLA,paper4_v13_working_candidate_registry.csv,implemented_proxy,loan outcomes are censored by decision
D02,choose funded set / allocation vector,continuous_or_binary_vector,solver,per replay or month,capital locked until repayment/default,"R_t,x_t,S_t^x,C_t",CFA/DLA,paper4_v13_cvar_stronger_decomposition_allocations.parquet,implemented,full dynamic allocation still pending
D03,select Paper 4 working champion,function_selection,research/MRM committee,per evidence wave,documentation-only until deployment,"X_pi,C_t",hybrid governance,paper4_v13_working_champion.json,implemented_working_only,not Paper Estrella promotion
D04,set conformal alpha / recalibration rule,parameter_setting,online coverage monitor,monthly/rolling,next period coverage,"B_t,W_t_plus_1,X_pi",PFA/CFA,paper4_v9_online_goal_status.json,resolved_historical,future-period validation pending
D05,set MDCP source caps,parameter_setting,source governance committee,per solver wave,immediate feasible set restriction,"C_t,x_t",CFA/PFA,paper4_v13_mdcp_cap_regime_rationale.csv,near_resolved,caps are governance proxies
D06,set CVaR/OCE cap and return floor,parameter_setting,risk committee,per frontier wave,immediate feasible set restriction,"C_t,x_t",CFA,paper4_v13_cvar_stronger_decomposition_frontier.csv,near_resolved,strict infeasibility must stay visible
D07,choose SICR / Stage 2 rule,function_selection,credit risk governance,per IFRS9 proxy wave,affects ECL/provision claim,"B_t,C_t,S_t^x",PFA/CFA,paper4_v13_ifrs9_sicr_sensitivity.csv,proxy_only,contractual IFRS9 data missing
D08,choose value-function features,function_selection,DLA/FVI designer,per DLA wave,affects future value approximation,"S_t,S_t^x,X_pi",VFA/DLA,paper4_v13_dla_fitted_value_coefficients.csv,near_resolved,not exact Bellman optimality
D09,choose SPO/DFL training target,function_selection,decision-loss designer,per training wave,affects learned score and regret,"B_t,C_t,X_pi",CFA/hybrid,paper4_v13_spo_decision_loss_report.csv,near_resolved,non-differentiable surrogate
D10,"approve, block, or qualify a claim",information_communication,MRM/research author,per artifact/page,immediate documentation effect,C_t,PFA governance,paper4_v14_claim_artifact_matrix.csv,implemented_v14,claim can be weaker than artifact
D11,"continue, park, or kill an experiment lane",discrete_action,Paper 4 lab owner,per wave,future research allocation,"C_t,X_pi",PFA governance,paper4_v14_stage_readiness_dashboard.csv,implemented_v14,judgmental but explicit
