primary_rank_v265,primary_added_loan_id_v265,primary_dropped_loan_id_v265,base_two_swap_pair_rows_v265,source_prefilter_two_swap_pair_rows_v265,source_exact_two_swap_pair_rows_v265,cvar_feasible_two_swap_pair_rows_v265,claim_boundary_v265
0,162604995,158940609,1540908,29352,3,3,bounded relief search from one post-v263 source-prefilter primary swap
1,162604995,156935428,1480869,20984,2,2,bounded relief search from one post-v263 source-prefilter primary swap
2,156192909,158940609,1478024,20651,2,2,bounded relief search from one post-v263 source-prefilter primary swap
3,162604995,159720541,1473742,20106,1,1,bounded relief search from one post-v263 source-prefilter primary swap
4,165985906,158940609,1472961,20054,1,1,bounded relief search from one post-v263 source-prefilter primary swap
5,146255415,158940609,1467713,19533,1,1,bounded relief search from one post-v263 source-prefilter primary swap
6,145085915,158940609,1464553,19041,0,0,bounded relief search from one post-v263 source-prefilter primary swap
7,142448559,127281432,1452447,21047,0,0,bounded relief search from one post-v263 source-prefilter primary swap
8,162604995,152314563,1447903,17190,0,0,bounded relief search from one post-v263 source-prefilter primary swap
9,160806330,158940609,1441468,16587,0,0,bounded relief search from one post-v263 source-prefilter primary swap
10,142369432,158940609,1429120,15301,0,0,bounded relief search from one post-v263 source-prefilter primary swap
11,143384974,154756272,1418438,22151,6,6,bounded relief search from one post-v263 source-prefilter primary swap
12,156192909,156935428,1420109,14361,0,0,bounded relief search from one post-v263 source-prefilter primary swap
13,143298636,154756272,1409892,21025,5,5,bounded relief search from one post-v263 source-prefilter primary swap
14,143029391,154756272,1409892,21025,5,5,bounded relief search from one post-v263 source-prefilter primary swap
15,155252343,154756272,1409697,21002,5,5,bounded relief search from one post-v263 source-prefilter primary swap
16,154899738,154756272,1408983,20879,5,5,bounded relief search from one post-v263 source-prefilter primary swap
17,165985906,156935428,1415137,13869,0,0,bounded relief search from one post-v263 source-prefilter primary swap
18,142547301,154756272,1407029,20627,5,5,bounded relief search from one post-v263 source-prefilter primary swap
19,156192909,159720541,1413047,13688,0,0,bounded relief search from one post-v263 source-prefilter primary swap
20,137677350,154756272,1404721,20342,5,5,bounded relief search from one post-v263 source-prefilter primary swap
21,148673813,158940609,1409865,13440,0,0,bounded relief search from one post-v263 source-prefilter primary swap
22,146255415,156935428,1410166,13509,0,0,bounded relief search from one post-v263 source-prefilter primary swap
23,137151950,127281432,1409339,16532,0,0,bounded relief search from one post-v263 source-prefilter primary swap
24,165985906,159720541,1408267,13284,0,0,bounded relief search from one post-v263 source-prefilter primary swap
