resolution_packet_id_v508,priority_v508,review_domain_v508,reviewer_role_required_v508,resolution_packet_ready_v508,candidate_identifier_resolved_v508,nomination_fields_completed_v508,candidate_nomination_recorded_v508,eligibility_review_allowed_v508,reviewer_assignment_allowed_v508,outcome_capture_allowed_v508,patch_allowed_v508,required_resolution_action_v508,claim_boundary_v508
manual_capture_01,1,layout_surface,layout_surface_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_02,2,layout_surface,layout_surface_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_03,3,layout_surface,layout_surface_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_04,4,layout_surface,layout_surface_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_05,5,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_06,6,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_07,7,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_08,8,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_09,9,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_10,10,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_11,11,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_12,12,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_13,13,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
manual_capture_14,14,caption_claim_safety,caption_claim_safety_reviewer,True,False,False,False,False,False,False,False,collect_candidate_identifier_and_nomination_fields,candidate nomination resolution packet only
