loan_id,loan_amnt,grade,score_decile,income_band,dti_band,period,mean_return_v285,pricing_block_ids_v285,tight_block_count_v285,return_improving_drop_rows_v285,budget_return_drop_rows_v285,grade_source_feasible_drop_rows_v285,score_decile_source_feasible_drop_rows_v285,joint_tight_source_feasible_drop_rows_v285,all_source_prefilter_drop_rows_v285,best_budget_return_drop_loan_id_v285,best_budget_return_delta_v285,best_budget_return_drop_mean_return_v285,candidate_screen_role_v285,claim_boundary_v285
165382274,40000.0,A,0,4,0,2020,883.9433199290119,grade=A|score_decile=0,2,169,1,0,0,0,0,138240169,25.641516168090334,858.3018037609215,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
161116709,35000.0,A,0,4,2,2019,853.4116469305155,grade=A|score_decile=0,2,168,1,0,0,0,0,136478763,0.9681960389680171,852.4434508915475,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
141424646,40000.0,A,0,4,0,2018,825.3348309909135,grade=A|score_decile=0,2,167,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
142544106,40000.0,A,0,4,0,2018,825.3348309909135,grade=A|score_decile=0,2,167,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
142971016,40000.0,A,0,4,1,2018,822.3274723115259,grade=A|score_decile=0,2,167,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
133736427,40000.0,A,0,4,0,2018,793.2732222880768,grade=A|score_decile=0,2,167,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
127802033,40000.0,A,0,4,0,2018,787.7081417758745,grade=A|score_decile=0,2,167,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
137219542,40000.0,A,0,4,0,2018,758.8133306608761,grade=A|score_decile=0,2,166,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
131524920,40000.0,A,0,4,0,2018,741.8792481464542,grade=A|score_decile=0,2,166,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
129766898,40000.0,A,0,4,0,2018,702.3123943909586,grade=A|score_decile=0,2,166,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
162344939,30000.0,A,0,4,0,2019,697.2387743078434,grade=A|score_decile=0,2,166,1,0,0,0,0,141547639,2.686311410904409,694.552462896939,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
136514162,40000.0,A,0,4,0,2018,694.4568998234604,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
155090587,40000.0,A,0,4,0,2019,684.5909039920261,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
143514276,28000.0,A,0,4,0,2018,673.6292306180682,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
149445142,32825.0,A,0,4,0,2019,673.319884311737,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
131604271,40000.0,A,0,4,4,2018,671.7133354871883,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
143009280,40000.0,A,0,4,0,2018,646.3778789083502,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
143477132,40000.0,A,0,4,0,2018,640.0090666733452,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
126456735,40000.0,A,0,3,2,2018,635.8958851975323,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
139918530,40000.0,A,0,4,0,2018,619.1486601631156,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
130473332,35000.0,A,0,4,0,2018,614.5233450920888,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
136506262,36050.0,A,0,4,0,2018,609.3565616315884,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
151301060,40000.0,A,0,4,0,2019,608.4304353408585,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
137834120,35000.0,A,0,4,2,2018,588.0712730186237,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
131361542,35000.0,A,0,4,0,2018,587.7491685512903,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
133849436,40000.0,A,0,4,2,2018,580.8809316388197,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
134190481,40000.0,A,0,4,0,2018,580.8809316388197,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
136476781,32000.0,A,0,4,1,2018,576.4767094998782,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
128173328,40000.0,A,0,4,1,2018,568.6284181589901,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
131106023,39200.0,A,0,4,1,2018,565.948156857375,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
142864364,34500.0,A,0,1,4,2018,560.7138728995109,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
126754841,35000.0,A,0,4,1,2018,556.4088995478404,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
142187586,40000.0,A,0,4,0,2018,549.8648077982366,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
144762389,40000.0,A,0,4,0,2018,535.4552841487049,grade=A|score_decile=0,2,165,0,0,0,0,0,,,,positive_return_source_tight_candidate,candidate-level source-tight pricing diagnostic; not an entering-column certificate
