source_family,source_id,cap_share_v350,source_exposure_v350,source_share_v350,source_slack_v350,source_slack_rank_v350,source_tight_flag_v350,branch_price_priority_v350,required_next_artifact_v350,claim_boundary_v350
grade,A,0.8531348749298603,719850.0,0.8531302776214038,4.597308456477656e-06,1,True,1.0,paper4_v351_v347_branch_price_or_dual_bound_loop.csv,v347 source-slack hotspot map only; no branch-price termination certificate
score_decile,0,0.9,759300.0,0.8998844478682113,0.0001155521317887,2,True,2.0,paper4_v351_v347_branch_price_or_dual_bound_loop.csv,v347 source-slack hotspot map only; no branch-price termination certificate
income_band,4,0.85,658925.0,0.7809250096293443,0.0690749903706556,3,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
dti_band,0,0.85,620300.0,0.7351485881899795,0.1148514118100204,4,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,other,0.35,183825.0,0.2178602115492874,0.1321397884507125,5,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
period,2018,0.82,514725.0,0.6100263695890492,0.2099736304109507,6,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,CA,0.35,115800.0,0.1372403780628722,0.2127596219371277,7,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,IL,0.35,91825.0,0.1088264051435513,0.2411735948564486,8,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,NY,0.35,88375.0,0.1047376374033361,0.2452623625966637,9,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,WA,0.35,57475.0,0.0681165002518443,0.2818834997481556,10,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,FL,0.35,51075.0,0.0605315398062279,0.289468460193772,11,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,GA,0.35,32400.0,0.0383988622559331,0.3116011377440668,12,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,TX,0.35,31450.0,0.0372729696897869,0.312727030310213,13,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,MA,0.35,28200.0,0.0334212319634973,0.3165787680365026,14,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,PA,0.35,25850.0,0.0306361292998725,0.3193638707001274,15,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,OH,0.35,24200.0,0.0286806316849871,0.3213193683150128,16,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,NC,0.35,23350.0,0.0276732541258036,0.3223267458741963,17,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,CO,0.35,15875.0,0.0188142573553376,0.3311857426446624,18,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,VA,0.35,14950.0,0.0177179935409321,0.3322820064590678,19,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,AZ,0.35,12000.0,0.0142218008355307,0.3357781991644691,20,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,NJ,0.35,10600.0,0.0125625907380522,0.3374374092619477,21,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,NV,0.35,9700.0,0.0114959556753873,0.3385040443246125,22,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,MN,0.35,9100.0,0.0107848656336108,0.3392151343663891,23,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,IN,0.35,8050.0,0.0095404580605019,0.340459541939498,24,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,MD,0.35,7275.0,0.0086219667565405,0.3413780332434594,25,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
state_top20,MI,0.35,2400.0,0.0028443601671061,0.3471556398328938,26,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
period,2019,0.82,290125.0,0.3438416639506977,0.4761583360493022,27,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
dti_band,1,0.85,165850.0,0.1965571390477319,0.653442860952268,28,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
income_band,3,0.85,103475.0,0.1226334034547124,0.7273665965452876,29,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
period,2020,0.82,38925.0,0.046131966460253,0.773868033539747,30,False,,none_for_non_tight_source_scope,v347 source-slack hotspot map only; no branch-price termination certificate
