layout_item_id_v487,asset_id_v487,manuscript_section_v487,layout_order_v487,layout_action_v487,ready_for_layout_dry_run_v487,ready_for_quarto_patch_v487,claim_boundary_v487
layout_T5,T5,methods_protocol,1,place asset and accepted draft caption in dry-run layout,True,False,no formal theorem or CRC guarantee
layout_F4,F4,methods_protocol,2,place asset and accepted draft caption in dry-run layout,True,False,no formal SPO-DLA theorem claim
layout_T1,T1,results_evidence,3,place asset and accepted draft caption in dry-run layout,True,False,no full-v55 optimality or champion claim
layout_F1,F1,results_evidence,4,place asset and accepted draft caption in dry-run layout,True,False,visual context only; v467 table carries current claim
layout_T2,T2,results_evidence,5,place asset and accepted draft caption in dry-run layout,True,False,no source cap approval or mutation
layout_F2,F2,results_evidence,6,place asset and accepted draft caption in dry-run layout,True,False,no cap relaxation or legal fairness certification
layout_T4,T4,results_evidence,7,place asset and accepted draft caption in dry-run layout,True,False,no production monitoring claim
layout_F3,F3,results_evidence,8,place asset and accepted draft caption in dry-run layout,True,False,no external holdout or production monitoring claim
layout_T3,T3,discussion_limitations,9,place asset and accepted draft caption in dry-run layout,True,False,no live dynamic deployment language
layout_T6,T6,discussion_limitations,10,place asset and accepted draft caption in dry-run layout,True,False,no contractual accounting compliance claim
