wave_v473,claim_id_v473,artifact_v473,boundary_v473
v467,v467_v353_local_return_cvar_frontier,paper4_v467_cvar_frontier_probe.csv,local v338-v347-v353 chain only
v467,v467_bounded_no_entry_evidence_summarized,paper4_v467_cvar_evidence_stack.csv,bounded branch-price and chunk evidence only
v468,v468_source_governance_refresh_created,paper4_v468_source_governance_refresh.csv,diagnostic refresh only
v468,v468_grade_a_primary_blocker_documented,paper4_v468_tight_source_rankings.csv,source blocker statement only
v468,v468_blind_chunking_stop_rule_reaffirmed,paper4_v468_source_execution_decision.csv,execution routing only
v469,v469_dynamic_replay_inventory_created,paper4_v469_dynamic_replay_inventory.csv,existing proxy replay inventory only
v469,v469_v353_dynamic_gap_documented,paper4_v469_current_frontier_dynamic_gap.csv,gap documentation only
v470,v470_online_monitoring_proxy_created,paper4_v470_online_monitoring_proxy_summary.csv,proxy-only online monitoring summary
v470,v470_internal_online_gates_inventory_created,paper4_v470_online_internal_gate_inventory.csv,internal gate inventory only
v471,v471_bounded_historical_spo_dla_language,paper4_v471_formal_claim_boundary_matrix.csv,historical/oracle-surrogate audit only
v471,v471_bounded_cvar_solver_context,paper4_v471_formal_claim_boundary_matrix.csv,bounded/gap CVaR context only
v472,v472_ifrs9_proxy_boundary_created,paper4_v472_ifrs9_proxy_boundary_summary.csv,IFRS9-inspired proxy boundary only
v472,v472_contractual_requirement_gap_documented,paper4_v472_ifrs9_requirement_audit.csv,requirement audit only
