policy_id,failure_axis,wealth_gap_vs_champion,loss_p95_gap_vs_champion,diagnosis_v34,action_v34,claim_boundary_v34
v13_fvi_bellman_rollout,wealth_gap_tail_or_adapter,-78059.98792704334,-91899.92839221522,tail controlled but wealth gap remains,retain as learning lane; compare under redesigned rollout before promotion,"failure analysis, not optimality proof"
v13_fvi_capital_guarded,wealth_gap_tail_or_adapter,-79815.79762541689,-92087.53352551637,tail controlled but wealth gap remains,retain as learning lane; compare under redesigned rollout before promotion,"failure analysis, not optimality proof"
v13_fvi_return_recovery,wealth_gap_tail_or_adapter,-71589.54317146237,-88761.24624580366,tail controlled but wealth gap remains,retain as learning lane; compare under redesigned rollout before promotion,"failure analysis, not optimality proof"
v24_adp_rollout_reinvestment_value,wealth_gap_tail_or_adapter,-192856.33903860324,289980.988517257,adapter/policy needs more capital-risk discipline,retain as learning lane; compare under redesigned rollout before promotion,"failure analysis, not optimality proof"
v24_adp_rollout_return_value,wealth_gap_tail_or_adapter,-184967.48913594708,299358.925933948,adapter/policy needs more capital-risk discipline,retain as learning lane; compare under redesigned rollout before promotion,"failure analysis, not optimality proof"
v24_adp_rollout_source_ecl_value,wealth_gap_tail_or_adapter,-334655.97336132766,444893.2492593739,adapter/policy needs more capital-risk discipline,retain as learning lane; compare under redesigned rollout before promotion,"failure analysis, not optimality proof"
v24_adp_rollout_tail_value,wealth_gap_tail_or_adapter,-199884.5568424334,284836.8969482784,adapter/policy needs more capital-risk discipline,retain as learning lane; compare under redesigned rollout before promotion,"failure analysis, not optimality proof"
v28_adp_depth2_reinvestment_guarded,wealth_gap_tail_or_adapter,-250133.7858509887,347936.62651231256,adapter/policy needs more capital-risk discipline,retain as learning lane; compare under redesigned rollout before promotion,"failure analysis, not optimality proof"
v28_adp_depth2_tail_source,wealth_gap_tail_or_adapter,-264619.12667222705,356448.21807736246,adapter/policy needs more capital-risk discipline,retain as learning lane; compare under redesigned rollout before promotion,"failure analysis, not optimality proof"
v28_adp_depth3_balanced,wealth_gap_tail_or_adapter,-271881.9461309351,369324.1447637456,adapter/policy needs more capital-risk discipline,retain as learning lane; compare under redesigned rollout before promotion,"failure analysis, not optimality proof"
v13_fvi_bellman_rollout,capital_deployment_reinvestment_source_tail,,,dynamic summary shows DLA comparator needs endogenous decision discipline before champion claim,park as serious method lane unless paired robustness improves,diagnostic only
v13_fvi_capital_guarded,capital_deployment_reinvestment_source_tail,,,dynamic summary shows DLA comparator needs endogenous decision discipline before champion claim,park as serious method lane unless paired robustness improves,diagnostic only
v13_fvi_return_recovery,capital_deployment_reinvestment_source_tail,,,dynamic summary shows DLA comparator needs endogenous decision discipline before champion claim,park as serious method lane unless paired robustness improves,diagnostic only
v24_adp_rollout_reinvestment_value,capital_deployment_reinvestment_source_tail,,,dynamic summary shows DLA comparator needs endogenous decision discipline before champion claim,park as serious method lane unless paired robustness improves,diagnostic only
v24_adp_rollout_return_value,capital_deployment_reinvestment_source_tail,,,dynamic summary shows DLA comparator needs endogenous decision discipline before champion claim,park as serious method lane unless paired robustness improves,diagnostic only
v24_adp_rollout_source_ecl_value,capital_deployment_reinvestment_source_tail,,,dynamic summary shows DLA comparator needs endogenous decision discipline before champion claim,park as serious method lane unless paired robustness improves,diagnostic only
v24_adp_rollout_tail_value,capital_deployment_reinvestment_source_tail,,,dynamic summary shows DLA comparator needs endogenous decision discipline before champion claim,park as serious method lane unless paired robustness improves,diagnostic only
v28_adp_depth2_reinvestment_guarded,capital_deployment_reinvestment_source_tail,,,dynamic summary shows DLA comparator needs endogenous decision discipline before champion claim,park as serious method lane unless paired robustness improves,diagnostic only
v28_adp_depth2_tail_source,capital_deployment_reinvestment_source_tail,,,dynamic summary shows DLA comparator needs endogenous decision discipline before champion claim,park as serious method lane unless paired robustness improves,diagnostic only
v28_adp_depth3_balanced,capital_deployment_reinvestment_source_tail,,,dynamic summary shows DLA comparator needs endogenous decision discipline before champion claim,park as serious method lane unless paired robustness improves,diagnostic only
