form_id,uncertainty_form,lending_club_manifestation,current_v13_representation,v14_sample_path_design_spec,overclaim_guardrail,artifact_to_extend
F01,fine_grained_variability,loan-level idiosyncratic default/prepayment noise,independent Bernoulli/default draws with calibrated multipliers,draw loan-level residual risk conditional on grade/period,"comparison only, not forecast",paper4_v13_sample_path_macro_calibrated_paths.parquet
F02,shifts,mean default/prepayment regime changes by month/vintage,macro_state_v12 and period multipliers,piecewise regime paths with crossing-time diagnostics,do not infer future regime probabilities,paper4_v13_sample_path_scenario_register.csv
F03,bursts,localized clusters of defaults or prepayments,partly through common macro shocks,clustered default bursts by source family,diagnostic stress only,paper4_v13_sample_path_calibration_table.csv
F04,spikes,rare sharp LGD/default stress,scenario loss / CVaR stress,rare tail spikes tied to macro and state/grade cells,no calibrated rare-event probability,paper4_v13_cvar_stronger_decomposition_scenario_losses.csv
F05,seasonality,monthly origination and repayment/default seasonality,monthly replay and period fields,month-of-year effects in W_{t+1},historical seasonality only,paper4_monthly_policy_replay.parquet
F06,vintage_cohort_effects,issue-period cohorts age into outcomes differently,period/grade calibration,vintage-specific hazard and recovery stress,contractual panel missing,paper4_v13_sample_path_calibration_table.csv
F07,spatial_state_shocks,state-level unemployment/regulatory/economic shocks,state caps are partial,state-family correlated shock factors,diagnostic until external macro is added,paper4_v13_mdcp_cap_regime_rationale.csv
F08,attribute_correlations,"grade, DTI, income, FICO, purpose correlations",MDCP source families and qhat/PD features,hierarchical pooled attribute covariance,small cells require pooling,paper4_v13_mdcp_cap_regime_solver_summary.csv
F09,systemic_macro_events,recession or credit-market shock,macro/common-path stress,common recession factor driving PD/LGD/prepayment,internal calibration only,paper4_v13_sample_path_scenario_register.csv
F10,rare_events,extreme credit shock not present in sample,CVaR/OCE scenarios,manual contingency path in scenario register,"contingency, not probability estimate",paper4_v13_cvar_stronger_decomposition_frontier.csv
F11,contingencies,policy/regulatory servicing changes with no historical analog,blocker dashboard only,explicit contingency rows and claim blocks,cannot validate without event/data,paper4_v14_stage_readiness_dashboard.csv
