asset_id_v484,required_terms_v484,required_terms_present_v484,caveat_preserved_v484,caption_final_v484,claim_boundary_v484
T1,local;full-v55;working-champion,True,True,False,no full-v55 optimality or champion claim
T2,primary blocker;cap,True,True,False,no source cap approval or mutation
T3,v353;dynamic replay,True,True,False,no live dynamic deployment language
T4,internal;external holdout;production monitoring,True,True,False,no production monitoring claim
T5,bounded;formal theorem;blocked,True,True,False,no formal theorem or CRC guarantee
T6,contractual;accounting compliance;blocked,True,True,False,no contractual accounting compliance claim
F1,visual context;T1,True,True,False,visual context only; v467 table carries current claim
F2,source-governance;fairness certification,True,True,False,no cap relaxation or legal fairness certification
F3,internal;not production monitoring,True,True,False,no external holdout or production monitoring claim
F4,does not establish;formal theorem,True,True,False,no formal SPO-DLA theorem claim
