path_id,macro_regime_v15,base_default_multiplier,base_lgd_multiplier,base_prepay_multiplier,vintage_amplitude,calibration_scope
0,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
1,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
2,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
3,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
4,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
5,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
6,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
7,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
8,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
9,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
10,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
11,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
12,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
13,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
14,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
15,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
16,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
17,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
18,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
19,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
20,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
21,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
22,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
23,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
24,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
25,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
26,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
27,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
28,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
29,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
30,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
31,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
32,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
33,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
34,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
35,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
36,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
37,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
38,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
39,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
40,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
41,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
42,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
43,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
44,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
45,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
46,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
47,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
48,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
49,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
50,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
51,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
52,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
53,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
54,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
55,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
56,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
57,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
58,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
59,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
60,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
61,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
62,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
63,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
64,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
65,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
66,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
67,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
68,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
69,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
70,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
71,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
72,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
73,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
74,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
75,vintage_stress_internal,1.25,1.15,0.86,0.75,internal_calibration_not_external_forecast
76,baseline_internal,1.0,1.0,1.0,0.0,internal_calibration_not_external_forecast
77,mild_stress_internal,1.15,1.08,0.92,0.25,internal_calibration_not_external_forecast
78,macro_stress_internal,1.45,1.22,0.8,0.55,internal_calibration_not_external_forecast
