asset_id_v484,asset_type_v484,source_asset_v484,source_caption_v484,hardened_caption_v484,caption_hardened_v484,caption_final_v484,inserted_into_quarto_v484,manual_review_required_v484,required_caveat_v484,claim_boundary_v484
T1,table,paper4_v467_cvar_frontier_probe.csv,"Local return/CVaR frontier chain for v338, v347 and v353. The table supports only a local frontier claim; full-v55 proof and working-champion language remain blocked.",Local return and tail-risk frontier for the v338-v347-v353 chain. Evidence is local to the comparable universe; full-v55 optimality and working-champion claims remain outside scope.,True,False,False,True,local v338-v347-v353 chain only,no full-v55 optimality or champion claim
T2,table,paper4_v468_tight_source_rankings.csv,Tight source-governance ranking after the domain refresh. Grade A is documented as the primary source blocker without authorizing cap relaxation.,Tight source-governance ranking after the domain refresh. Grade A is retained as the primary blocker; the table does not authorize cap relaxation or fairness certification.,True,False,False,True,diagnostic source blocker statement only,no source cap approval or mutation
T3,table,paper4_v469_current_frontier_dynamic_gap.csv,"Dynamic replay gap for the current local frontier. v338 remains the dynamic proxy anchor, while v353 lacks a dynamic replay trace.","Dynamic replay gap for the current local frontier. v338 remains the historical dynamic proxy anchor, while v353 lacks a dynamic replay trace.",True,False,False,True,v353 lacks dynamic replay trace,no live dynamic deployment language
T4,table,paper4_v470_online_monitoring_proxy_summary.csv,Internal online conformal monitoring proxy summary. The evidence is internal and replay-based; external holdout and production monitoring claims remain blocked.,Internal online conformal monitoring proxy gates. The evidence is replay-based and internal; external holdout and production monitoring claims remain blocked.,True,False,False,True,internal proxy only; no external holdout,no production monitoring claim
T5,table,paper4_v471_formal_claim_boundary_matrix.csv,"Formal SPO-DLA claim boundary matrix. Bounded historical audit language is permitted, while SPO+/DLA theorem and CRC guarantee claims remain blocked.",Formal SPO-DLA claim-boundary matrix. The table supports bounded historical audit language only; formal theorem and CRC guarantee claims remain blocked.,True,False,False,True,historical/oracle-surrogate audit only,no formal theorem or CRC guarantee
T6,table,paper4_v472_ifrs9_requirement_audit.csv,Contractual IFRS9 requirement-gap audit. The table supports proxy and gap language only; contractual/accounting compliance remains blocked.,Contractual IFRS9 requirement-gap audit. The table supports proxy and gap language only; contractual cashflow and accounting compliance claims remain blocked.,True,False,False,True,requirement audit only,no contractual accounting compliance claim
F1,figure,paper4_fig5_return_ecl_tail_frontier.png,"Return, ECL and tail-risk frontier context. The figure is retained as visual context and must be read with the current v467 local frontier table.","Return, ECL and tail-risk frontier context. The figure provides visual context for the local frontier and must be read with the current T1 evidence table.",True,False,False,True,legacy frontier figure; align caption to v467 local claim,visual context only; v467 table carries current claim
F2,figure,paper4_fig10_mdcp_worst_source_v2.png,Worst-source governance coverage context. The figure motivates the source-governance lane without implying legal fairness certification or cap approval.,Worst-source governance coverage context. The figure motivates the source-governance blocker without implying cap approval or legal fairness certification.,True,False,False,True,source-governance visual context only,no cap relaxation or legal fairness certification
F3,figure,paper4_fig12_online_method_search.png,"Online conformal method-search context. The figure supports internal monitoring proxy discussion, not production monitoring.","Online conformal method-search context. The figure supports internal monitoring proxy discussion only, not production monitoring.",True,False,False,True,internal replay-selected method search,no external holdout or production monitoring claim
F4,figure,paper4_fig4_regret_auditability_frontier.png,Regret-auditability frontier context for historical SPO-DLA positioning. The figure does not establish a formal theorem.,Regret-auditability frontier context for historical SPO-DLA positioning. The figure does not establish a formal theorem or deployment guarantee.,True,False,False,True,historical audit positioning only,no formal SPO-DLA theorem claim
