policy_id,source_family,worst_avg_pd,worst_avg_width,support_pass_share,diagnostic_cells,claim_boundary_v29
paper1_economic_champion,dti_band,0.2840729672270273,0.55,1.0,1,observable source governance only; no protected-attribute inference
paper1_economic_champion,income_band,0.2840729672270273,0.55,1.0,1,observable source governance only; no protected-attribute inference
paper1_economic_champion,income_band__dti_band,0.2840729672270273,0.55,1.0,1,observable source governance only; no protected-attribute inference
paper1_economic_champion,original_grade,0.7288304444685298,0.55,0.42857142857142855,7,observable source governance only; no protected-attribute inference
paper1_economic_champion,original_grade__state_top20,0.7288304444685298,0.55,0.2857142857142857,7,observable source governance only; no protected-attribute inference
paper1_economic_champion,period,0.30818527640775084,0.55,1.0,5,observable source governance only; no protected-attribute inference
paper1_economic_champion,score_decile,0.2840729672270273,0.55,1.0,1,observable source governance only; no protected-attribute inference
paper1_economic_champion,score_decile__original_grade,0.7288304444685298,0.55,0.2857142857142857,7,observable source governance only; no protected-attribute inference
paper1_economic_champion,state_top20,0.2840729672270273,0.55,1.0,1,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,dti_band,0.2938224486686104,0.914132770464203,0.6666666666666666,6,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,income_band,0.24001659092752037,0.8319686668068365,0.8,5,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,income_band__dti_band,0.42588875907605184,0.9330607783121994,0.0,22,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,original_grade,0.7256416313897859,0.9302346409105274,0.42857142857142855,7,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,original_grade__state_top20,0.7280383093137194,0.9463941116455327,0.0,90,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,period,0.2541749105631598,0.8688130172148537,1.0,5,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,score_decile,0.71161627349123,0.8700607783121994,0.6,5,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,score_decile__original_grade,0.7280383093137194,0.9341418593932804,0.15,20,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor105000_cap300000,state_top20,0.3130802437297561,0.8863941116455326,0.14285714285714285,21,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,dti_band,0.2938224486686104,0.914132770464203,0.6666666666666666,6,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,income_band,0.24001659092752037,0.8319686668068365,0.8,5,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,income_band__dti_band,0.42588875907605184,0.9330607783121994,0.0,22,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,original_grade,0.7256416313897859,0.9302346409105274,0.42857142857142855,7,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,original_grade__state_top20,0.7280383093137194,0.9463941116455327,0.0,90,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,period,0.2541749105631598,0.8688130172148537,1.0,5,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,score_decile,0.71161627349123,0.8700607783121994,0.6,5,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,score_decile__original_grade,0.7280383093137194,0.9341418593932804,0.15,20,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor125000_cap360000,state_top20,0.3130802437297561,0.8863941116455326,0.14285714285714285,21,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,dti_band,0.3617224394149576,0.9109555151543046,0.5,6,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,income_band,0.3790717036425575,0.8261027500253986,0.8,5,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,income_band__dti_band,0.7747173819400586,0.9730607783121994,0.04,25,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,original_grade,0.7554071478267612,0.9232784631561414,0.5714285714285714,7,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,original_grade__state_top20,0.779595203373278,0.9463941116455327,0.0,103,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,period,0.3003226116183515,0.8692664871623746,1.0,5,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,score_decile,0.7759368372983635,0.8700442957358225,0.5,6,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,score_decile__original_grade,0.7766685105133464,0.9343511008928445,0.09090909090909091,22,observable source governance only; no protected-attribute inference
v13_cvar_mdcp_colgen_relaxed_k32000_floor80000_cap250000,state_top20,0.37596419071494386,0.8397343820707249,0.14285714285714285,21,observable source governance only; no protected-attribute inference
