concept,method_family,matched_posts,post_count,novelty,evidence_strength,project_destination,implementation_difficulty,claim_risk,recommended_decision
Brier vs Gini/ECE separation,Calibration and metric governance,1:7458410505825685505; 3:7454786558127161344; 30:7392833273737138176; 35:7363453428431224832; 55:7239520617035640833,5,Medium,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch06; Paper4 metric governance; Paper Estrella reviewer defense,Low,Medium: requires validated source beyond LinkedIn before manuscript claim.,append_to_atlas_after_source_verification
Observation-level Gini contribution diagnostics,Ranking diagnostics,6:7439581405879103488,1,Medium-high,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch06; Paper4 appendix diagnostic,Medium,"Medium: useful as diagnostic, not a new guarantee.",append_to_atlas_after_source_verification
Economic value of Gini and acceptance-rate framing,Credit decision economics,4:7452612214328537088; 15:7423998736009375745,2,High for narrative integration,LinkedIn-only intake; source verification pending,Book Ch09; Paper Estrella introduction/discussion,Low-medium,"Medium: must tie to project artifacts, not generic LinkedIn examples.",append_to_atlas_after_source_verification
WOE recalibration under drift,Scorecard maintenance,5:7449713105552482304,1,High,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch05; Paper4 bounded prototype candidate,Medium,Medium-high: needs reproducible Lending Club drift experiment.,append_or_prototype_only_after_source_verification
GBDT leaf WOE and boosted scorecards,Interpretable ML / scorecards,2:7456960883634663424; 8:7436682459037089793; 24:7404429791552270336; 28:7396457171279970304; 49:7272626194091552768; 53:7247130806010187776; 57:7229369908193579009,7,High,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch05/Ch06; future benchmark,High,High: avoid adding dependency-heavy benchmark without gate.,append_to_atlas_after_source_verification
Probabilistic LGD via quantile or multiclass bins,Risk parameter uncertainty,14:7426897722655277074; 28:7396457171279970304; 30:7392833273737138176; 31:7391383804583645184; 54:7242057402705993728; 58:7226833197983006722,6,High,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch07/Ch10; Paper4 IFRS/LGD appendix,Medium-high,High: project data limitations and ECL proxy boundaries apply.,append_to_atlas_after_source_verification
SHAP distillation into scorecard-style explanations,Explainability and model governance,2:7456960883634663424; 22:7410227928887783424; 32:7389209473522999296; 33:7387020037041119234; 44:7302591232625541122,5,High,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch06/Ch10; Paper4 governance appendix,Medium,Medium: explanation of predictions is not causal mechanism.,append_to_atlas_after_source_verification
Class imbalance and probability correction,Calibration under rare events,13:7429434643583725571; 35:7363453428431224832,2,Medium,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch06 calibration caveats,Low,Low-medium: align with existing calibration evidence.,append_to_atlas_after_source_verification
Somers D / Dxy for ordinal or continuous outcomes,Credit-risk metrics,3:7454786558127161344; 20:7416750932140552192; 58:7226833197983006722,3,Medium,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch06; possible LGD metric extension,Low-medium,"Low: as metric addition, not a core contribution.",append_to_atlas_after_source_verification
Classification/probability intervals and Pearsonify contrast,Probability uncertainty,45:7297638535648481280; 48:7282429540482568193,2,Medium-high,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch07; Paper Estrella related-work contrast,Medium,"Medium: distinguish classical intervals, Venn-Abers, and conformal intervals.",append_to_atlas_after_source_verification
Credit-risk MLOps with MLflow/SageMaker/LocalStack,MLOps and reproducibility,9:7435957418662207488; 16:7421824489165979649; 18:7419287581689008128; 21:7413851823381598208; 25:7401530693182427137; 26:7400081067224743936; 29:7394653161082314752; 33:7387020037041119234; 43:7346840312377421826,9,Medium,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch10; implementation companion,Medium-high,Low for engineering appendix; high if framed as research contribution.,append_to_atlas_after_source_verification
Fine-tuning GBDT when new data sources arrive,Model maintenance,2:7456960883634663424,1,Medium-high,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Book Ch10; Paper4 drift/maintenance candidate,Medium,Medium-high: needs stable train/update protocol.,append_or_prototype_only_after_source_verification
Robust logistic regression for noisy labels/outliers,Robust statistics,39:7353684060264632320,1,Medium,LinkedIn-only intake; source verification pending,Book Ch06 baseline robustness note,Medium,Medium: baseline only unless empirically material.,append_to_atlas_after_source_verification
External resource collections and On Credit book trail,Source discovery,3:7454786558127161344; 7:7437407111698984960; 11:7434266280364498944; 12:7431246513466609664; 40:7351513545626312704; 50:7259829440568836097,6,Low-medium,LinkedIn intake plus unresolved/resolved external leads; full reading pending,Bibliography triage; Book foundations,Low,Medium: source status must be labeled; not all resources are peer reviewed.,append_to_atlas_after_source_verification
