link_asset_id,parent_activity_id,parent_post_number,source_url,canonical_url,http_status,source_type,access_status,title,local_html_path,local_text_path,local_binary_path,checksum,handling_decision,claim_use_rule,stop_condition,error
7456960883634663424_external_01,7456960883634663424,2,https://www.linkedin.com/in/ilia-ekhlakov/,https://www.linkedin.com/in/ilia-ekhlakov/,,linkedin_profile,blocked_or_http_error,,,,,,archive_identity_or_context_source,Do not use as evidence for technical claims; keep only for provenance/context.,"Stop after canonical URL, status, and non-claim role are recorded.",HTTPError: HTTP Error 999: <none>
7456960883634663424_external_02,7456960883634663424,2,https://lnkd.in/ds4bSxWU,https://media.licdn.com/dms/image/v2/D4E22AQE5AAGP_M-skA/feedshare-shrink_800/B4EZr9wXZfGoAk-/0/1765193906921?e=2147483647&v=beta&t=WPXSQ2qWIiVyjptTCcnobKRZWRYf8JtbvcnlgXVO48A,200,external_web,reachable,,external_sources/raw/7456960883634663424_external_02/source.html,external_sources/raw/7456960883634663424_external_02/source_text.txt,,d740f125eb695364e194efe950f715f977ae5f255f8b28473d8f7b63f0bda109,read_or_triage_as_non_peer_reviewed_context,Use only as implementation/context unless it links to canonical academic or official material.,"Stop when resolved links are either attached to parent post, expanded as child sources, or archived as low-evidence context.",
7449713105552482304_external_01,7449713105552482304,5,https://lnkd.in/dFqRfdE8,https://github.com/deburky/boosting-scorecards/blob/main/scripts/fastwoe_finetune.py,200,github,target_resolution_only_fetch_blocked,LinkedIn,external_sources/raw/7449713105552482304_external_01/source.html,external_sources/raw/7449713105552482304_external_01/source_text.txt,,7d4181b7c99855d6bf77ef2d9064b8121d04fcfdf027c7a13fe7343d07fc3f3c,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",HTTPError: HTTP Error 429: Too Many Requests
7439581405879103488_external_01,7439581405879103488,6,https://lnkd.in/d4Q7DUAX,https://nbviewer.org/github/deburky/boosting-scorecards/blob/main/other_notebooks/gini_instance_level.ipynb,200,external_web,reachable,Jupyter Notebook Viewer,external_sources/raw/7439581405879103488_external_01/source.html,external_sources/raw/7439581405879103488_external_01/source_text.txt,,69e6f6b144e3270f668951abed9442d1ae38f66f82df4e4fc7f13e62c7f3cbca,read_or_triage_as_non_peer_reviewed_context,Use only as implementation/context unless it links to canonical academic or official material.,"Stop when resolved links are either attached to parent post, expanded as child sources, or archived as low-evidence context.",
7437407111698984960_external_01,7437407111698984960,7,https://lnkd.in/dRWU88UA,https://www.amazon.com/dp/B0GRMHZWT3,200,external_web,reachable,Amazon.com,external_sources/raw/7437407111698984960_external_01/source.html,external_sources/raw/7437407111698984960_external_01/source_text.txt,,0253574ed14085a048036692c810f5346c2c76bb677cf1569068091a245340b1,read_or_triage_as_non_peer_reviewed_context,Use only as implementation/context unless it links to canonical academic or official material.,"Stop when resolved links are either attached to parent post, expanded as child sources, or archived as low-evidence context.",
7437407111698984960_external_02,7437407111698984960,7,https://lnkd.in/dEamxnFj,https://payhip.com/OnCreditBook,200,external_web,target_resolution_only_fetch_blocked,LinkedIn,external_sources/raw/7437407111698984960_external_02/source.html,external_sources/raw/7437407111698984960_external_02/source_text.txt,,80e9abfc7f84fa4206211bb661c78afc73e9ec8815286d22592e22fe3131a6ea,read_or_triage_as_non_peer_reviewed_context,Use only as implementation/context unless it links to canonical academic or official material.,"Stop when resolved links are either attached to parent post, expanded as child sources, or archived as low-evidence context.",HTTPError: HTTP Error 403: Forbidden
7435378973288685568_external_01,7435378973288685568,10,https://www.linkedin.com/company/data-demystified-summit/,https://uk.linkedin.com/showcase/data-demystified-summit/,200,linkedin_company,reachable,Data Demystified Summit | LinkedIn,external_sources/raw/7435378973288685568_external_01/source.html,external_sources/raw/7435378973288685568_external_01/source_text.txt,,93ba9d3253646b056542004aa6ed6203cceea0d5a5620fa5812fdc9298376d35,archive_identity_or_context_source,Do not use as evidence for technical claims; keep only for provenance/context.,"Stop after canonical URL, status, and non-claim role are recorded.",
7435378973288685568_external_02,7435378973288685568,10,https://www.linkedin.com/company/piano-io/,https://www.linkedin.com/company/piano-io/,200,linkedin_company,reachable,Piano | LinkedIn,external_sources/raw/7435378973288685568_external_02/source.html,external_sources/raw/7435378973288685568_external_02/source_text.txt,,805bb5566d22c1fcad21779e28ed7231cda4c17775dde00ebb403669fce451f3,archive_identity_or_context_source,Do not use as evidence for technical claims; keep only for provenance/context.,"Stop after canonical URL, status, and non-claim role are recorded.",
7434266280364498944_external_01,7434266280364498944,11,https://www.linkedin.com/in/naeem-siddiqi-9442815/,https://www.linkedin.com/in/naeem-siddiqi-9442815,200,linkedin_profile,reachable,Naeem Siddiqi - SAS | LinkedIn,external_sources/raw/7434266280364498944_external_01/source.html,external_sources/raw/7434266280364498944_external_01/source_text.txt,,aeb4ce80dea6dfc3adeb4d697d5cbdacb76a938a13a50b4922c0d21defa533a4,archive_identity_or_context_source,Do not use as evidence for technical claims; keep only for provenance/context.,"Stop after canonical URL, status, and non-claim role are recorded.",
7434266280364498944_external_02,7434266280364498944,11,https://www.linkedin.com/in/agus-sudjianto-76519619/,https://www.linkedin.com/in/agus-sudjianto-76519619,200,linkedin_profile,reachable,Agus Sudjianto - H2O.ai | LinkedIn,external_sources/raw/7434266280364498944_external_02/source.html,external_sources/raw/7434266280364498944_external_02/source_text.txt,,d909b609897f82fc89f4112bfe65cfc14a5fb2ff42b87958b7cb6564c20f22f7,archive_identity_or_context_source,Do not use as evidence for technical claims; keep only for provenance/context.,"Stop after canonical URL, status, and non-claim role are recorded.",
7434266280364498944_external_03,7434266280364498944,11,https://lnkd.in/dtNUi5FW,https://www.amazon.de/dp/B0GQR7R222,200,external_web,reachable,Amazon.de,external_sources/raw/7434266280364498944_external_03/source.html,external_sources/raw/7434266280364498944_external_03/source_text.txt,,7bfb638c4cbff513f3dda0051d9e582b5d95e1220140de9ff0e6cda05bd0f0d8,read_or_triage_as_non_peer_reviewed_context,Use only as implementation/context unless it links to canonical academic or official material.,"Stop when resolved links are either attached to parent post, expanded as child sources, or archived as low-evidence context.",
7434266280364498944_external_04,7434266280364498944,11,https://lnkd.in/d4GaNKUA,https://www.amazon.com/dp/B0GQR7R222,200,external_web,reachable,Amazon.com,external_sources/raw/7434266280364498944_external_04/source.html,external_sources/raw/7434266280364498944_external_04/source_text.txt,,0253574ed14085a048036692c810f5346c2c76bb677cf1569068091a245340b1,read_or_triage_as_non_peer_reviewed_context,Use only as implementation/context unless it links to canonical academic or official material.,"Stop when resolved links are either attached to parent post, expanded as child sources, or archived as low-evidence context.",
7434266280364498944_external_05,7434266280364498944,11,https://lnkd.in/dKE92dwU,https://www.amazon.co.uk/dp/B0GQR7R222,200,external_web,reachable,Amazon.co.uk,external_sources/raw/7434266280364498944_external_05/source.html,external_sources/raw/7434266280364498944_external_05/source_text.txt,,d9829e4ee4cade92f989b51d7bbb8d7b8768ac05990baf9828627384c2133518,read_or_triage_as_non_peer_reviewed_context,Use only as implementation/context unless it links to canonical academic or official material.,"Stop when resolved links are either attached to parent post, expanded as child sources, or archived as low-evidence context.",
7431246513466609664_external_01,7431246513466609664,12,https://lnkd.in/daK5nfYM,https://github.com/deburky/on-credit-book,200,github,reachable,"GitHub - deburky/on-credit-book: Code examples for ""On Credit: Scoring Foundations in the Age of AI""",external_sources/raw/7431246513466609664_external_01/source.html,external_sources/raw/7431246513466609664_external_01/source_text.txt,,6c8c5fd25e0a8fe3046365c4a2e478a39501bdcc631755cf327eb9060108acd4,read_as_potential_evidence,"Read before promotion; may support appendix, implementation, or related work depending on content.","Stop when local snapshot exists, source status is labeled, and parent post decision is updated.",
7421824489165979649_external_01,7421824489165979649,16,https://www.linkedin.com/company/mlflow-org/,https://www.linkedin.com/company/mlflow-org/,200,linkedin_company,reachable,MLflow | LinkedIn,external_sources/raw/7421824489165979649_external_01/source.html,external_sources/raw/7421824489165979649_external_01/source_text.txt,,57e94137aaf739c09b92389988782b465ac79c68be95b211996007fa89b8239a,archive_identity_or_context_source,Do not use as evidence for technical claims; keep only for provenance/context.,"Stop after canonical URL, status, and non-claim role are recorded.",
7421824489165979649_external_02,7421824489165979649,16,https://www.linkedin.com/company/amazon-sagemaker/,https://www.linkedin.com/company/amazon-sagemaker/,200,linkedin_company,reachable,Amazon SageMaker | LinkedIn,external_sources/raw/7421824489165979649_external_02/source.html,external_sources/raw/7421824489165979649_external_02/source_text.txt,,0c322b60a1398e0c3086ea4e2ee7370d4a45274d39423656a2c37d34cd64f68c,archive_identity_or_context_source,Do not use as evidence for technical claims; keep only for provenance/context.,"Stop after canonical URL, status, and non-claim role are recorded.",
7421824489165979649_external_03,7421824489165979649,16,https://www.linkedin.com/company/amazon-web-services/,https://www.linkedin.com/company/amazon-web-services/,200,linkedin_company,reachable,Amazon Web Services (AWS) | LinkedIn,external_sources/raw/7421824489165979649_external_03/source.html,external_sources/raw/7421824489165979649_external_03/source_text.txt,,f97cebedefecd2ba92db1a2198f91c2fd57459f753ed41f24b8012a70d6b8ffd,archive_identity_or_context_source,Do not use as evidence for technical claims; keep only for provenance/context.,"Stop after canonical URL, status, and non-claim role are recorded.",
7421824489165979649_external_04,7421824489165979649,16,https://www.linkedin.com/company/localstack-cloud/,https://www.linkedin.com/company/localstack-cloud/,200,linkedin_company,reachable,LocalStack | LinkedIn,external_sources/raw/7421824489165979649_external_04/source.html,external_sources/raw/7421824489165979649_external_04/source_text.txt,,3fb7d089fc97b6d01f7d19fbd7536ea5cf859b1ba8312871b0b1c1e119362e8e,archive_identity_or_context_source,Do not use as evidence for technical claims; keep only for provenance/context.,"Stop after canonical URL, status, and non-claim role are recorded.",
