priority,activity_id,post_url,title,attachment_type,next_action,done_definition,safety_rule
P1,7458410505825685505,https://www.linkedin.com/feed/update/urn:li:activity:7458410505825685505/,Why Brier Score Can Pick the Wrong Model (And How to Avoid It),Image/carousel,"Open post in visible Windows Chrome session, expand text, capture every carousel image/slide and OCR.",Full post text captured; all attachments/links have extracted text or explicit blocker; analytic memo added.,"Use user-owned visible session only; no fake accounts, captcha bypass, stealth, or rate evasion."
P1,7456960883634663424,https://www.linkedin.com/feed/update/urn:li:activity:7456960883634663424/,Integrating a new data source into a production scoring model usually means retraining from scratch.,Image/carousel,"Open post in visible Windows Chrome session, expand text, capture every carousel image/slide and OCR.",Full post text captured; all attachments/links have extracted text or explicit blocker; analytic memo added.,"Use user-owned visible session only; no fake accounts, captcha bypass, stealth, or rate evasion."
P1,7454786558127161344,https://www.linkedin.com/feed/update/urn:li:activity:7454786558127161344/,"Working on credit risk models, you can discover a whole parallel shelf of metrics typically hidden from mainstre...",LinkedIn document/deck,"Open post in visible Windows Chrome session, expand text, try document download, otherwise capture every page/slide and OCR.",Full post text captured; all attachments/links have extracted text or explicit blocker; analytic memo added.,"Use user-owned visible session only; no fake accounts, captcha bypass, stealth, or rate evasion."
P1,7452612214328537088,https://www.linkedin.com/feed/update/urn:li:activity:7452612214328537088/,Not all useful credit research makes it to top headlines.,Image/carousel,"Open post in visible Windows Chrome session, expand text, capture every carousel image/slide and OCR.",Full post text captured; all attachments/links have extracted text or explicit blocker; analytic memo added.,"Use user-owned visible session only; no fake accounts, captcha bypass, stealth, or rate evasion."
P1,7449713105552482304,https://www.linkedin.com/feed/update/urn:li:activity:7449713105552482304/,WOE Recalibration: The Fine-Tuning Trick Credit Risk Hasn't Named Yet,Image/carousel,"Open post in visible Windows Chrome session, expand text, capture every carousel image/slide and OCR.",Full post text captured; all attachments/links have extracted text or explicit blocker; analytic memo added.,"Use user-owned visible session only; no fake accounts, captcha bypass, stealth, or rate evasion."
P1,7439581405879103488,https://www.linkedin.com/feed/update/urn:li:activity:7439581405879103488/,Which observations help (or hurt) your model's Gini?,Image/carousel,"Open post in visible Windows Chrome session, expand text, capture every carousel image/slide and OCR.",Full post text captured; all attachments/links have extracted text or explicit blocker; analytic memo added.,"Use user-owned visible session only; no fake accounts, captcha bypass, stealth, or rate evasion."
P1,7437407111698984960,https://www.linkedin.com/feed/update/urn:li:activity:7437407111698984960/,On Credit: Scoring Foundations in the Age of AI is now available digitally!,Image/carousel,"Open post in visible Windows Chrome session, expand text, capture every carousel image/slide and OCR.",Full post text captured; all attachments/links have extracted text or explicit blocker; analytic memo added.,"Use user-owned visible session only; no fake accounts, captcha bypass, stealth, or rate evasion."
P1,7436682459037089793,https://www.linkedin.com/feed/update/urn:li:activity:7436682459037089793/,"Most credit scorecards use main effects only: one feature, one bin, one WOE value.",LinkedIn document/deck,"Open post in visible Windows Chrome session, expand text, try document download, otherwise capture every page/slide and OCR.",Full post text captured; all attachments/links have extracted text or explicit blocker; analytic memo added.,"Use user-owned visible session only; no fake accounts, captcha bypass, stealth, or rate evasion."
P3,7435957418662207488,https://www.linkedin.com/feed/update/urn:li:activity:7435957418662207488/,Officially AWS Certified Generative AI Developer - Professional (and an Early Adopter too)!,Image/carousel,"Open post in visible Windows Chrome session, expand text, capture every carousel image/slide and OCR.",Full post text captured; all attachments/links have extracted text or explicit blocker; analytic memo added.,"Use user-owned visible session only; no fake accounts, captcha bypass, stealth, or rate evasion."
P2,7435378973288685568,https://www.linkedin.com/feed/update/urn:li:activity:7435378973288685568/,Had an amazing day today at Data Demystified Summit in Berlin!,Image/carousel,"Open post in visible Windows Chrome session, expand text, capture every carousel image/slide and OCR.",Full post text captured; all attachments/links have extracted text or explicit blocker; analytic memo added.,"Use user-owned visible session only; no fake accounts, captcha bypass, stealth, or rate evasion."
