kernel_id,run_id,title,author,script_url,auc_reported,detected_models,detected_hpo,detected_xai
1216937,4389548.0,LendingClub-Analysis and Predictions,husainsb,https://www.kaggle.com/code/husainsb/lendingclub-analysis-and-predictions,0.7336,"['logistic_regression', 'random_forest', 'xgboost']",[],[]
95591645,275799147.0,🔍 Credit Risk Explainability: SHAP,karnikakapoor,https://www.kaggle.com/code/karnikakapoor/credit-risk-explainability-shap,,"['catboost', 'random_forest', 'xgboost']",[],"['feature_importance', 'shap']"
67214645,205467167.0,Lending Club - Du Modèle à l'Explicabilité,thomsouv,https://www.kaggle.com/code/thomsouv/lending-club-du-mod-le-l-explicabilit,,"['neural_network', 'random_forest', 'xgboost']",['random_search'],"['pdp_ice', 'permutation_importance', 'shap']"
47719450,155126152.0,Lending Club | Loan Default Prediction | EDA ,emmaruyiyang,https://www.kaggle.com/code/emmaruyiyang/lending-club-loan-default-prediction-eda,,"['lightgbm', 'logistic_regression', 'neural_network', 'random_forest', 'xgboost']",['bayesian'],[]
40378684,135478273.0, XGBoost Loan Defaulters 💰Prediction,krishnaraj30,https://www.kaggle.com/code/krishnaraj30/xgboost-loan-defaulters-prediction,,"['neural_network', 'random_forest', 'xgboost']",['random_search'],[]
26033202,129168513.0,Loan Defaulters Prediction|EDA| Lending Club Study,abhishek14398,https://www.kaggle.com/code/abhishek14398/loan-defaulters-prediction-eda-lending-club-study,,[],[],[]
13213589,117833025.0,🏦 Lending Club Loan 💰 Defaulters 🏃‍♂ Prediction,faressayah,https://www.kaggle.com/code/faressayah/lending-club-loan-defaulters-prediction,,"['neural_network', 'random_forest', 'xgboost']",['random_search'],[]
16847827,104658792.0,Complete Data Science Fintech Project: Part I,mariiagusarova,https://www.kaggle.com/code/mariiagusarova/complete-data-science-fintech-project-part-i,,['logistic_regression'],['random_search'],[]
26316465,94830632.0,"Credit Risk Part-1: Binning, WoE, IV, PD Model",chandrimad31,https://www.kaggle.com/code/chandrimad31/credit-risk-part-1-binning-woe-iv-pd-model,,['logistic_regression'],[],[]
26153226,94594824.0,LendingClub - EDA - XGBoost & SHAP in super detail,mingtr,https://www.kaggle.com/code/mingtr/lendingclub-eda-xgboost-shap-in-super-detail,,"['logistic_regression', 'xgboost']","['grid_search', 'manual_tuning', 'random_search']","['feature_importance', 'permutation_importance', 'shap']"
25227586,89837498.0,Lending Club Loan Data Statistical Analysis,kwasiransom,https://www.kaggle.com/code/kwasiransom/lending-club-loan-data-statistical-analysis,,[],[],[]
24641649,88404388.0,Deep Convolutional GANs Simplified,aayush7kumar,https://www.kaggle.com/code/aayush7kumar/deep-convolutional-gans-simplified,,['neural_network'],[],[]
24257556,88397232.0,"Clustering using K-Means, Hierarchical and DBSCAN",aayush7kumar,https://www.kaggle.com/code/aayush7kumar/clustering-using-k-means-hierarchical-and-dbscan,,[],[],[]
