concept,source_items,method_family,novelty_for_project,evidence_strength,project_destination,implementation_difficulty,claim_risk,decision,stop_condition
WOE as centered log odds with uncertainty,S2-POST-002; S2-POST-006; S2-ART-007,scorecards / WOE / information theory,High for explanation language; medium for implementation.,LinkedIn deck + GitHub tooling; needs primary citation for paper claims.,Book chapter 05; Paper 4 appendix parking.,Medium,Medium,append_language_and_park_prototype,No dependency or claim promotion without local benchmark and verified source.
WOE as Naive Bayes likelihood-ratio scorecard,S2-POST-008; S2-ART-007,Bayesian scoring / WOE,Medium; strengthens pedagogy.,LinkedIn article/deck only.,Book chapter 05.,Low,Medium,append_language_no_new_model,Do not create NB challenger unless a reviewer asks for a simple probabilistic baseline.
Rank metrics versus probability scoring rules,S2-ART-002; S2-ART-010; S2-POST-015,model evaluation / calibration,Medium; sharpens existing champion defense.,Local project metrics plus LinkedIn context; formal claims already rely on project artifacts and citations.,Book chapter 06; Paper Estrella reviewer defense.,Low,Low if framed as metric governance.,append_metric_language,No new model benchmark unless it changes an existing table.
"PD model as probability estimator, not only classifier",S2-POST-014; S2-POST-011; S2-POST-015,logistic regression / MLE pedagogy,Medium.,Pedagogical LinkedIn decks; no claim risk when used as explanatory prose.,Book chapter 06.,Low,Low,append_language_no_experiment,Stop after prose clarifies threshold metrics are downstream policy choices.
Trended credit data and sequence models,S2-POST-003,sequence modeling / feature engineering,High but data-infeasible.,LinkedIn carousel only.,Paper 4 limitations/future work.,High,Medium,park_data_unavailable,Requires transaction histories; Lending Club snapshot cannot support it.
Profit scoring beyond PD,S2-ART-008; S2-ART-009; S2-ART-012; S2-ART-010,portfolio economics / risk-based pricing,High for chapter 09 framing; low for immediate implementation.,LinkedIn articles with source trails; local LP already covers expected loss but not full profit target.,Book chapter 09; Paper 4 future work.,High,Medium,append_economic_caveat,"Requires realized revenue, write-offs, costs, and pricing policy data."
Official ML governance for internal credit risk models,S2-POST-009; ECB official PDF,model risk management / IRB governance,High.,Official supervisory guidance extracted locally.,Book chapter 10; Paper Estrella reviewer defense.,Low to medium,Low when labeled as official guidance.,append_official_governance_language,Stop after governance controls are documented; no champion reopen.
Information-theoretic IV/PSI/Jeffreys framework,S2-POST-010,information theory / monitoring / fairness,Medium.,Preprint PDF captured; SSRN web fetch blocked.,Book chapters 05/10; source discovery for papers.,Medium,Medium to high until citation status stabilizes.,append_as_preprint_labeled_context,No paper claim promotion without verified preprint/citation trail.
Tree-based validation with leaf contingency tests,S2-ART-005,GBDT validation / model monitoring,Medium.,LinkedIn article idea intake only.,Book chapter 10/11; Paper 4 appendix parking.,Medium,Medium,park_bounded_diagnostic,Implement only if it changes a validation table or reviewer response.
xBooster / boosted scorecard extraction,S2-POST-007; S2-ART-011,interpretable boosting / scorecard distillation,Medium to high.,Readable GitHub README and LinkedIn article; no local benchmark yet.,Book chapter 11; Paper 4 prototype parking.,Medium,Medium,park_prototype,No dependency until benchmark scope and artifact table are defined.
LGD direct/indirect decomposition and CLAR,S2-ART-004,LGD modeling / recovery risk,"High for Paper 4 scope, low for current data.",LinkedIn article plus official-source trail; claims need direct official/paper citations.,Paper 4 LGD appendix/future work.,High,Medium,park_data_unavailable,Requires workout/recovery/cure/debt-sale data.
Poisson/count models for risk event counts,S2-POST-004,GLM / count modeling,Low for current PD target.,LinkedIn deck with textbook source trail.,Book GLM sidebar only.,Medium,Low if framed as out-of-scope.,archive_outside_current_pd_target,Do not implement for binary PD.
