item_id,item_kind,activity_or_article_id,title,source_status,content_read,attachment_or_visual_status,external_source_status,project_destination,possible_executable_or_implementable,decision,stop_condition,closure_status
S2-POST-001,linkedin_post,7447901245949792256,You already understand LLMs better than you think,linkedin_post_plus_medium_link_blocked_for_full_read,Post text read; external Medium article resolved but direct fetch returned target-resolution-only blocker.,No substantive local visual beyond public post text.,Medium URL resolved; not promoted as evidence.,Book chapter 06 pedagogy only.,"Short framing note connecting MLE, logit, scorecards, and sequence models.",archive_as_framing,"Stop because it does not change a credit-risk claim, experiment, or table.",closed
S2-POST-002,linkedin_post,7376148352284901376,Explainable Credit Risk Models,linkedin_post_with_70_page_public_document_pdf,"Post and 70-page deck read; themes include WOE origins, logistic regression, boosting, pitfalls, and explainability.",PDF text extracted; deck is readable.,No external source required.,Book chapters 05 and 11; Paper 4 related-work framing.,"Use as conceptual checklist for WOE, sign flips, boosted scorecards, and reason-code governance.",append_language_no_new_experiment,Stop after language is incorporated; do not promote LinkedIn deck as scholarly evidence.,closed
S2-POST-003,linkedin_post,7211748798618824704,Credit Scoring with Trended Data,linkedin_post_with_three_public_images,Post and three slides read; slides compare snapshot data to sequence models over transaction histories.,Manual visual read completed; RNN/LSTM/Transformer Gini and Brier examples recorded.,Linktree resolved and archived as aggregator.,Paper 4 limitations/future work; book feature-engineering caveat.,Future sequence-data lane if actual transaction histories become available.,park_data_unavailable,Stop because Lending Club snapshot data cannot support trended-sequence modeling.,closed
S2-POST-004,linkedin_post,7328316894258577408,Poisson Models,linkedin_post_with_9_page_public_document_pdf,"Post and deck read; count-model use cases, Fisher scoring, overdispersion, zero inflation, and negative binomial alternatives reviewed.",PDF text extracted.,Schema.org link resolved and archived as low-evidence external context.,Book GLM sidebar only.,No PD implementation; possible future collections/count event module.,archive_outside_current_pd_target,"Stop because the project target is binary default, not event counts.",closed
S2-POST-005,linkedin_post,7381584253375025152,Enhancing Explainability in Credit Scoring,linkedin_post_with_13_page_public_document_pdf_and_github,"Post, paper-style deck, and GitHub README read; constrained trees, responsible ML, calibration, interpretability, and policy testing reviewed.",PDF text extracted.,GitHub xml-scoring snapshot readable; code context only.,Book chapter 11; Paper 4 related-work/prototype parking.,"Optional future constrained-tree or XML scorecard comparison, only with local benchmark.",park_prototype,Stop because it cannot change the promoted champion without a bounded benchmark.,closed
S2-POST-006,linkedin_post,7346062624972754944,"WOE, Log Odds, and Standard Errors",linkedin_post_with_9_page_public_document_pdf_and_fastwoe_github,"Post, deck, FastWOE README, and WoeBoost article metadata read; WOE as centered log odds and uncertainty quantification reviewed.",PDF text extracted.,FastWOE GitHub readable; Medium WoeBoost readable as non-peer context.,Book chapter 05; Paper 4 appendix/prototype parking.,Document WOE standard-error idea; optional WOE uncertainty prototype later.,append_language_and_park_prototype,Stop after conceptual language; no dependency added without local benchmark and tests.,closed
S2-POST-007,linkedin_post,7320341844326797319,Build explainable scorecards with CatBoost,linkedin_post_with_medium_link_blocked_and_xbooster_github,"Post and xBooster README read; CatBoost scorecard extraction, SHAP scoring, SQL generation, and limitations reviewed.",Text-only post captured.,xBooster GitHub readable; Medium article fetch blocked but article candidate covered through LinkedIn article capture.,Book chapter 11; Paper 4 prototype parking.,Future xBooster/CatBoost-to-scorecard comparison if it changes an appendix table.,park_prototype,Stop because current champion already has SHAP/explanation governance and no new table is justified.,closed
S2-POST-008,linkedin_post,7155476795474030592,Credit Risk Modeling with Naive Bayes,linkedin_post_with_3_page_public_document_pdf_and_article,"Post, short deck, and long Naive Bayes article read; WOE as log-likelihood ratio and NB scorecard workflow reviewed.",PDF text extracted.,Linktree/schema links archived; associated article captured separately.,Book chapter 05.,"Clarify WOE as evidence/likelihood-ratio language, not only encoding.",append_language_no_new_model,Stop because NB scorecard is pedagogically useful but not needed as a new empirical lane.,closed
S2-POST-009,linkedin_post,7366001503611924480,Machine Learning in Internal Credit Risk Models,linkedin_post_with_23_page_public_document_pdf_and_official_ecb_pdf,"Post, deck, and ECB guide text read; ML in IRB, reproducibility, observation ordering, explainability, and conceptual soundness reviewed.",PDF text extracted.,Official ECB guide extracted from 370-page PDF and labeled as supervisory guidance.,Book chapters 10/14/19; Paper Estrella reviewer-defense language.,"Add governance controls for seeds, row ordering, model lineage, explainability, and validation scope.",append_official_governance_language,Stop after governance text; do not reopen champion.,closed
S2-POST-010,linkedin_post,7372524468570689537,Information-Theoretic Framework for Credit Risk Modeling,linkedin_post_with_22_page_preprint_pdf_and_ssrn_link_blocked,"Post and preprint PDF read; IV, PSI, Jeffreys divergence, standard errors, and fairness/performance tradeoffs reviewed.",PDF text extracted.,SSRN URL resolved but direct fetch blocked; local LinkedIn PDF treated as preprint artifact.,Book chapters 05 and 10; Paper 4 source-discovery only.,Mention IV/PSI uncertainty as future governance instrumentation.,append_as_preprint_labeled_context,Stop because claim promotion requires stable preprint/citation handling or peer-reviewed source.,closed
S2-POST-011,linkedin_post,7181176150688223232,Logistic Regression with Fisher Scoring,linkedin_post_text_only_with_child_post_links,Post read; child posts for logistic regression and log loss captured and read.,No primary media detected on public permalink.,Child LinkedIn posts 7152948849597132801 and 7168870006380740608 captured.,Book chapter 06 pedagogy.,Short explanation of MLE/Fisher scoring if needed; no package dependency.,archive_as_pedagogy,Stop because it does not alter the model comparison or champion.,closed
S2-POST-012,linkedin_post,7173943545752383488,Additive Logistic Regression,linkedin_post_with_13_page_public_document_pdf_and_child_links,Post and deck read; LogitBoost as additive logistic regression and bridge to boosting reviewed.,PDF text extracted.,Log-loss and logistic-regression child posts captured.,Book chapter 06/11 related-work sidebar.,No implementation; retain as conceptual bridge between logistic regression and boosting.,park_related_work,Stop because CatBoost champion already covers the boosted-tree lane.,closed
S2-POST-013,linkedin_post,7368538277517156352,Hidden Tricks in CatBoost You Should Know,linkedin_post_with_external_article_link,Post read; external article resolved as non-peer web context.,Text-only post captured.,PlainEnglish article reachable but kept as low-evidence implementation context.,Book chapters 10/11 context only.,None now; MLflow/SageMaker ideas remain outside the current local stack.,archive_low_evidence_context,Stop because article does not change local model governance artifacts.,closed
S2-POST-014,linkedin_child_post,7152948849597132801,Logistic Regression: The Two Cultures,linkedin_child_post_with_12_page_public_document_pdf,"Post and deck read; regression/classification framing, probability estimation, and log loss objective reviewed.",PDF text extracted.,No additional source required.,Book chapter 06.,"Clarify that PD models are probability estimators used for decisions, not just classifiers.",append_language_no_experiment,Stop after metric-governance language is updated.,closed
S2-POST-015,linkedin_child_post,7168870006380740608,Log Loss,linkedin_child_post_with_36_page_public_document_pdf,"Post and deck read; likelihood, binomial/Bernoulli log-likelihood, GBDT log loss, and cumulative log loss reviewed.",PDF text extracted.,No additional source required.,Book chapter 06.,Add log loss as complementary probability-quality metric beside Brier/ECE/AUC.,append_metric_language,Stop because no new metric gate is needed for the champion.,closed
S2-ART-001,linkedin_article,article_designing_ai_underwriters,Designing AI Underwriters,public_linkedin_article,Article and high-priority visuals read; multi-agent/human-in-the-loop underwriting workflow reviewed.,3 inline figures and cover visually reviewed.,LinkedIn-only article; not bibliographic evidence.,Governance backlog only.,Future AI-underwriter assistant concept after model-governance scope is stable.,park_outside_current_deliverable,"Stop because current deliverable is PD/LGD/portfolio governance, not LLM underwriting automation.",closed
S2-ART-002,linkedin_article,article_measuring_calibration_accuracy,Measuring Calibration Accuracy of Modern PD Models,public_linkedin_article,"Article and visuals read; Brier, log loss, ECE, MCE, robust logit and calibration diagrams reviewed.",3 inline figures and cover visually reviewed.,Article contains source trail; use only as context unless references are separately cited.,Book chapter 06; Paper Estrella reviewer-defense language.,Strengthen distinction between rank metrics and probability calibration.,append_language_no_new_experiment,Stop after chapter 06 metric language is updated.,closed
S2-ART-003,linkedin_article,article_designing_credit_scoring_systems_ml_components,Designing Credit Scoring Systems with ML Components,public_linkedin_article,"Article and visuals read; modular scoring, submodels, neutral logits, integration model, ECE, and validation complexity reviewed.",4 inline figures and cover visually reviewed.,LinkedIn-only article; references should be checked before formal citation.,Book chapter 10; Paper 4 governance language.,Map score/calibrator/policy/submodel separation to governance text.,append_governance_language,Stop after architecture language is captured.,closed
