n,activity_id,post_url,date,author,title,relevance,theme,summary_es,tesis_use,attachment_type,external_links,short_snippet_under_25_words,discovery_source
1,7455503720936693760,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7455503720936693760-X4vC,,Andrija Djurovic,𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 𝗪𝗼𝗿𝗸𝗶𝗻𝗴 𝗡𝗼𝘁𝗲𝘀 – 𝗧𝗵𝗲 𝗧𝗵𝗶𝗿𝗱 𝗨𝗽𝗱𝗮𝘁𝗲,Alta,IFRS9 forward-looking modeling,"Material de FLI/IFRS9 y modelos macro; sirve para diagnostico y narrativa de limitaciones, no para mover el champion PD.",Libro Ch10 y mini libro CRPTO; posible apendice de tesis sobre FLI/escenarios.,external_links,https://lnkd.in/dm2p5UNv | https://lnkd.in/dhufwehR | https://lnkd.in/drTegZXJ | https://lnkd.in/dqcHHr4N | https://lnkd.in/dRhegAMV | https://lnkd.in/dJegGCfS | https://lnkd.in/d3A3QYYa | https://lnkd.in/dv4yCu2k | https://lnkd.in/ddr-yi5Q | https://lnkd.in/d_CcHWXx | https://lnkd.in/dZTdymZa | https://leanpub.com/crmwn,𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 𝗪𝗼𝗿𝗸𝗶𝗻𝗴 𝗡𝗼𝘁𝗲𝘀 – 𝗧𝗵𝗲 𝗧𝗵𝗶𝗿𝗱 𝗨𝗽𝗱𝗮𝘁𝗲 The 📕 Credit Risk Modeling Working Notes continue to grow and have been updated for,public_profile_recent_activity
2,7443560044412968960,https://www.linkedin.com/posts/andrija-djurovic_irb-ifrs9-pd-activity-7443560044412968960-P7Wf,,Andrija Djurovic,𝗔𝗽𝗽𝗹𝗶𝗲𝗱 𝗗𝗮𝘁𝗮 𝗦𝗰𝗶𝗲𝗻𝗰𝗲 𝗳𝗼𝗿 𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸,Alta,PD backtesting and validation,"Post sobre validacion/backtesting de PD; revisar si refuerza la capa de materialidad, z-score, binomial exacto o pruebas multi-periodo.",Paper CRPTO / libro Ch06-Ch10; Paper 4 si cambia una tabla de validacion o una respuesta a revisores.,external_links,https://lnkd.in/dm2p5UNv | https://lnkd.in/drTegZXJ | https://lnkd.in/djtuMbjY | https://lnkd.in/ddr-yi5Q | https://lnkd.in/d_CcHWXx | https://lnkd.in/dZTdymZa | https://lnkd.in/dVPPmZ7j | https://lnkd.in/dp27pt2d | https://lnkd.in/d3YZnh6C | https://lnkd.in/dv4yCu2k,"𝗔𝗽𝗽𝗹𝗶𝗲𝗱 𝗗𝗮𝘁𝗮 𝗦𝗰𝗶𝗲𝗻𝗰𝗲 𝗳𝗼𝗿 𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 When I created my GitHub repository Applied Data Science for Credit Risk (https://lnkd.in/dm2p5UNv), I intended it to be",public_profile_recent_activity
3,7461301929135022080,https://www.linkedin.com/posts/andrija-djurovic_pdbacktestingmpat-activity-7461301929135022080-ZWpE,,Andrija Djurovic,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗔𝘃𝗲𝗿𝗮𝗴𝗲 𝗧𝗲𝘀𝘁𝗶𝗻𝗴,Alta,PD backtesting and validation,"Post sobre validacion/backtesting de PD; revisar si refuerza la capa de materialidad, z-score, binomial exacto o pruebas multi-periodo.",Paper CRPTO / libro Ch06-Ch10; Paper 4 si cambia una tabla de validacion o una respuesta a revisores.,linkedin_document_deck,,"𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗔𝘃𝗲𝗿𝗮𝗴𝗲 𝗧𝗲𝘀𝘁𝗶𝗻𝗴 In the context of Probability of Default (PD) IRB modeling, backtesting is one of the most",public_profile_recent_activity
4,7458765378664427520,https://www.linkedin.com/posts/andrija-djurovic_rfpdtbinteractions-activity-7458765378664427520-26OI,,Andrija Djurovic,𝗥𝗶𝘀𝗸 𝗙𝗮𝗰𝘁𝗼𝗿 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝗶𝗻𝗴 𝗶𝗻 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗿𝗲𝗲-𝗕𝗮𝘀𝗲𝗱 𝗜𝗻𝘁𝗲𝗿𝗮𝗰𝘁𝗶𝗼𝗻𝘀,Alta,"WOE, binning and scorecard stability","Material de binning/WOE/scorecards; util para estabilidad, interpretabilidad y caveats de scorecards.",Libro Ch05-Ch06; Paper 4 solo como apendice/prototipo acotado.,linkedin_document_deck,,𝗥𝗶𝘀𝗸 𝗙𝗮𝗰𝘁𝗼𝗿 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝗶𝗻𝗴 𝗶𝗻 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗿𝗲𝗲-𝗕𝗮𝘀𝗲𝗱 𝗜𝗻𝘁𝗲𝗿𝗮𝗰𝘁𝗶𝗼𝗻𝘀 Risk factor engineering is a critical step in every PD model development. In traditional frameworks,public_profile_recent_activity
5,7453691768476405760,https://www.linkedin.com/posts/andrija-djurovic_nttypeierror-activity-7453691768476405760-wjws,,Andrija Djurovic,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗢𝗻 𝘁𝗵𝗲 𝗥𝗲𝗹𝗶𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝗼𝗳 𝘁𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗡𝗼𝗿𝗺𝗮𝗹 𝗧𝗲𝘀𝘁,Alta,PD backtesting and validation,"Post sobre validacion/backtesting de PD; revisar si refuerza la capa de materialidad, z-score, binomial exacto o pruebas multi-periodo.",Paper CRPTO / libro Ch06-Ch10; Paper 4 si cambia una tabla de validacion o una respuesta a revisores.,linkedin_document_deck,,"𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗢𝗻 𝘁𝗵𝗲 𝗥𝗲𝗹𝗶𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝗼𝗳 𝘁𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗡𝗼𝗿𝗺𝗮𝗹 𝗧𝗲𝘀𝘁 As risk quantification is a regulatory requirement in IRB modeling, practitioners pay",public_profile_recent_activity
6,7451153797881618432,https://www.linkedin.com/posts/andrija-djurovic_smipymanual-activity-7451153797881618432-tf0b,,Andrija Djurovic,𝐬𝐦𝐢: 𝐀𝐧 𝗣𝘆𝘁𝗵𝗼𝗻 𝐏𝐚𝐜𝐤𝐚𝐠𝐞 𝐟𝐨𝐫 𝐈𝐅𝐑𝐒𝟗 𝐅𝐨𝐫𝐰𝐚𝐫𝐝-𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,Alta,IFRS9 forward-looking modeling,"Material de FLI/IFRS9 y modelos macro; sirve para diagnostico y narrativa de limitaciones, no para mover el champion PD.",Libro Ch10 y mini libro CRPTO; posible apendice de tesis sobre FLI/escenarios.,linkedin_document_deck,https://lnkd.in/dm2p5UNv,𝐬𝐦𝐢: 𝐀𝐧 𝗣𝘆𝘁𝗵𝗼𝗻 𝐏𝐚𝐜𝐤𝐚𝐠𝐞 𝐟𝐨𝐫 𝐈𝐅𝐑𝐒𝟗 𝐅𝐨𝐫𝐰𝐚𝐫𝐝-𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠 This Python package is a replica of the R package I recently published on my GitHub,public_profile_recent_activity
7,7448618361606873088,https://www.linkedin.com/posts/andrija-djurovic_lgdeadsomersdandconservatism-activity-7448618361606873088-godV,,Andrija Djurovic,𝗦𝗼𝗺𝗲𝗿𝘀’ 𝗗 𝗶𝗻 𝗟𝗚𝗗 𝗮𝗻𝗱 𝗘𝗔𝗗 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 - 𝗜𝗺𝗽𝗮𝗰𝘁 𝗼𝗳 𝗖𝗼𝗻𝘀𝗲𝗿𝘃𝗮𝘁𝗶𝘀𝗺 𝗼𝗻 𝗗𝗶𝘀𝗰𝗿𝗶𝗺𝗶𝗻𝗮𝘁𝗼𝗿𝘆 𝗣𝗼𝘄𝗲𝗿,Media,LGD/EAD validation and discriminatory power,Material LGD/EAD; valioso para frontera futura pero menos directo para Lending Club PD actual.,Libro Ch07-Ch10 y tesis; aparcar para Paper 4 salvo que cierre un claim LGD/ECL.,linkedin_document_deck,https://github.com/andrija-djurovic/adsfcr,𝗦𝗼𝗺𝗲𝗿𝘀’ 𝗗 𝗶𝗻 𝗟𝗚𝗗 𝗮𝗻𝗱 𝗘𝗔𝗗 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 - 𝗜𝗺𝗽𝗮𝗰𝘁 𝗼𝗳 𝗖𝗼𝗻𝘀𝗲𝗿𝘃𝗮𝘁𝗶𝘀𝗺 𝗼𝗻 𝗗𝗶𝘀𝗰𝗿𝗶𝗺𝗶𝗻𝗮𝘁𝗼𝗿𝘆 𝗣𝗼𝘄𝗲𝗿 Somers’ D is a commonly used metric for assessing discriminatory,public_profile_recent_activity
8,7446081646761738240,https://www.linkedin.com/posts/andrija-djurovic_pdmoccegimimpact-activity-7446081646761738240-U3Tc,,Andrija Djurovic,𝗤𝘂𝗮𝗻𝘁𝗶𝗳𝗶𝗰𝗮𝘁𝗶𝗼𝗻 𝗼𝗳 𝗠𝗼𝗖 𝗧𝘆𝗽𝗲 𝗖 𝗶𝗻 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗢𝗻 𝘁𝗵𝗲 𝗔𝗴𝗴𝗿𝗲𝗴𝗮𝘁𝗲 𝗘𝗳𝗳𝗲𝗰𝘁 𝗼𝗳 𝗥𝗲𝗴𝘂𝗹𝗮𝘁𝗼𝗿𝘆 𝗥𝗲𝗾𝘂𝗶𝗿𝗲𝗺𝗲𝗻𝘁𝘀 𝗼𝗻 𝗖𝗼𝗻𝘀𝗲𝗿𝘃𝗮𝘁𝗶𝘀𝗺 𝗟𝗲𝘃𝗲𝗹𝘀,Media,LGD/EAD validation and discriminatory power,Material LGD/EAD; valioso para frontera futura pero menos directo para Lending Club PD actual.,Libro Ch07-Ch10 y tesis; aparcar para Paper 4 salvo que cierre un claim LGD/ECL.,linkedin_document_deck,,𝗤𝘂𝗮𝗻𝘁𝗶𝗳𝗶𝗰𝗮𝘁𝗶𝗼𝗻 𝗼𝗳 𝗠𝗼𝗖 𝗧𝘆𝗽𝗲 𝗖 𝗶𝗻 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗢𝗻 𝘁𝗵𝗲 𝗔𝗴𝗴𝗿𝗲𝗴𝗮𝘁𝗲 𝗘𝗳𝗳𝗲𝗰𝘁 𝗼𝗳 𝗥𝗲𝗴𝘂𝗹𝗮𝘁𝗼𝗿𝘆 𝗥𝗲𝗾𝘂𝗶𝗿𝗲𝗺𝗲𝗻𝘁𝘀 𝗼𝗻 𝗖𝗼𝗻𝘀𝗲𝗿𝘃𝗮𝘁𝗶𝘀𝗺 𝗟𝗲𝘃𝗲𝗹𝘀 The quantification of Margin of,public_profile_recent_activity
9,7441019641449050113,https://www.linkedin.com/posts/andrija-djurovic_2sidedexactbinomialtest-activity-7441019641449050113-ZZ-g,,Andrija Djurovic,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗿𝗼𝗯𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝗼𝗳 𝗗𝗲𝗳𝗮𝘂𝗹𝘁 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗵𝗲 𝗧𝘄𝗼-𝗦𝗶𝗱𝗲𝗱 𝗘𝘅𝗮𝗰𝘁 𝗕𝗶𝗻𝗼𝗺𝗶𝗮𝗹 𝗧𝗲𝘀𝘁,Alta,PD backtesting and validation,"Post sobre validacion/backtesting de PD; revisar si refuerza la capa de materialidad, z-score, binomial exacto o pruebas multi-periodo.",Paper CRPTO / libro Ch06-Ch10; Paper 4 si cambia una tabla de validacion o una respuesta a revisores.,linkedin_document_deck,,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗿𝗼𝗯𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝗼𝗳 𝗗𝗲𝗳𝗮𝘂𝗹𝘁 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗵𝗲 𝗧𝘄𝗼-𝗦𝗶𝗱𝗲𝗱 𝗘𝘅𝗮𝗰𝘁 𝗕𝗶𝗻𝗼𝗺𝗶𝗮𝗹 𝗧𝗲𝘀𝘁 Backtesting PD models is typically one of the most comprehensive validation exercises performed,public_profile_recent_activity
10,7463579851317239808,https://www.linkedin.com/posts/andrija-djurovic_activity-7463579851317239808-vGpI,,Andrija Djurovic,LinkedIn post,Media,Credit-risk modeling source discovery,Post candidato a lectura; clasificar despues de resolver adjuntos/enlaces.,"Research pack; promover solo si cambia libro, paper o apendice.",unknown_pending_capture,,,public_profile_recent_activity
