backlog_id,source_kind,activity_id,post_url,title,capture_status,attachment_summary,external_source_summary,topic_family,key_takeaway_es,possible_executable_or_implementable,project_destination,handling_decision,stop_condition,closure_status,claim_use_rule,notes
ANDRIJA-POST-001,indexed_andrija_post,7455503720936693760,https://www.linkedin.com/posts/andrija-djurovic_creditrisk-irb-ifrs9-activity-7455503720936693760-X4vC,𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 𝗪𝗼𝗿𝗸𝗶𝗻𝗴 𝗡𝗼𝘁𝗲𝘀 – 𝗧𝗵𝗲 𝗧𝗵𝗶𝗿𝗱 𝗨𝗽𝗱𝗮𝘁𝗲,linkedin_intake_plus_external_sources_read,asset_types=external_link:12|linkedin_post_text_only:1; asset_statuses=pending_external_source_review:12|post_text_captured_no_media_found:1,readable_sources=11; source_types=github:11; reading_statuses=pdf_text_extracted_pdftotext:10|readable_http_200:1,ADSFCR / IFRS9 / validation source bundle,"Paquete de notas con SMI, C2ST, heterogeneidad, PD calibration, Somers D y WoE; sirve como mapa de fuentes e implementaciones, no como evidencia academica final.","Cruzar el bundle con lanes ya existentes: C2ST, IFRS9, encoding-stability y PD validation; no abrir codigo nuevo salvo que una fuente cambie tabla o respuesta de reviewer.",Mini libro CRPTO como intake; tesis para FLI/IFRS9; Paper 4 solo por appendices gobernados.,append_as_source_map,"Cerrado cuando cada enlace de alto valor tenga texto local, source status, y destino paper/tesis/archive; no se reabre por otro link comercial.",closed,LinkedIn material is intake evidence only; GitHub/PDFs son contexto tecnico hasta ser benchmarkeados localmente.,Tercer update de Working Notes; varias piezas ya fueron absorbidas en auditorias ADSFCR previas.
ANDRIJA-POST-002,indexed_andrija_post,7443560044412968960,https://www.linkedin.com/posts/andrija-djurovic_irb-ifrs9-pd-activity-7443560044412968960-P7Wf,𝗔𝗽𝗽𝗹𝗶𝗲𝗱 𝗗𝗮𝘁𝗮 𝗦𝗰𝗶𝗲𝗻𝗰𝗲 𝗳𝗼𝗿 𝗖𝗿𝗲𝗱𝗶𝘁 𝗥𝗶𝘀𝗸,external_sources_read_as_software_context,asset_types=external_link:10|linkedin_post_text_only:1; asset_statuses=pending_external_source_review:10|post_text_captured_no_media_found:1,readable_sources=10; source_types=github:10; reading_statuses=pdf_text_extracted_pdftotext:9|readable_http_200:1,Applied Data Science for Credit Risk umbrella,"Post paraguas del repositorio ADSFCR con backtesting, calibration, MoC, Somers D y heterogeneidad.",Mantenerlo como indice de fuentes; reutilizar solo las piezas que ya tienen PDF/codigo leido y trazado.,Mini libro CRPTO; docs de investigacion; tesis.,append_as_governed_intake,"Cerrado cuando las fuentes externas resueltas queden separadas por software, PDF tecnico, LinkedIn-only y bloqueado.",closed,No promover claims desde el post; usarlo como puerta de entrada a fuentes externas.,Complementa el audit ADSFCR ya existente.
ANDRIJA-POST-003,indexed_andrija_post,7461301929135022080,https://www.linkedin.com/posts/andrija-djurovic_pdbacktestingmpat-activity-7461301929135022080-ZWpE,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗔𝘃𝗲𝗿𝗮𝗴𝗲 𝗧𝗲𝘀𝘁𝗶𝗻𝗴,linkedin_deck_pdf_extracted,asset_types=linkedin_document_pdf:1|linkedin_document_transcript:1; asset_statuses=pdf_text_extracted_pdftotext:1|transcript_captured:1,No high-value external source captured.,PD backtesting multi-period average testing,El z-test multi-periodo debe alinear su varianza con el promedio aritmetico anual de tasas de default; el tamano efectivo cambia la lectura de p-values.,Prototipo Paper 4 o appendix: recomputar backtesting multi-periodo con promedio aritmetico y N efectivo si puede cambiar una tabla de validacion o una defensa de reviewer.,Paper CRPTO reviewer-defense; Paper 4 candidate lane; tesis validation chapter.,promote_to_crpto_defense_and_park_prototype,"Parar si la prueba no cambia un claim, tabla de appendix o respuesta probable; no sustituye el champion.",closed,Usar como caveat tecnico con source status; buscar soporte academico/regulatorio antes de bibliografia publica.,Deck PDF local extraido.
ANDRIJA-POST-004,indexed_andrija_post,7458765378664427520,https://www.linkedin.com/posts/andrija-djurovic_rfpdtbinteractions-activity-7458765378664427520-26OI,𝗥𝗶𝘀𝗸 𝗙𝗮𝗰𝘁𝗼𝗿 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝗶𝗻𝗴 𝗶𝗻 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗿𝗲𝗲-𝗕𝗮𝘀𝗲𝗱 𝗜𝗻𝘁𝗲𝗿𝗮𝗰𝘁𝗶𝗼𝗻𝘀,linkedin_deck_pdf_extracted,asset_types=linkedin_document_pdf:1|linkedin_document_transcript:1; asset_statuses=pdf_text_extracted_pdftotext:1|transcript_captured:1,No high-value external source captured.,Tree-based PD risk-factor interactions,"Arboles pueden descubrir interacciones utiles para scorecards si respetan minimos de observaciones/defaults, missing treatment, monotonicidad y validacion de negocio.",Prototipo acotado: generar interacciones candidatas y comparar contra inputs actuales solo como challenger explicable.,Paper 4 prototype; tesis feature-engineering; libro Ch05/Ch06.,park_with_executable_prototype_rule,Parar cuando la interaccion no mejore evidencia reproducible o rompa interpretabilidad/monotonicidad; no abrir reemplazo del champion.,closed,No venderlo como ML champion; ubicarlo como soporte selectivo.,Deck PDF local extraido.
ANDRIJA-POST-005,indexed_andrija_post,7453691768476405760,https://www.linkedin.com/posts/andrija-djurovic_nttypeierror-activity-7453691768476405760-wjws,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗢𝗻 𝘁𝗵𝗲 𝗥𝗲𝗹𝗶𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝗼𝗳 𝘁𝗵𝗲 𝗠𝘂𝗹𝘁𝗶-𝗣𝗲𝗿𝗶𝗼𝗱 𝗡𝗼𝗿𝗺𝗮𝗹 𝗧𝗲𝘀𝘁,linkedin_deck_pdf_extracted,asset_types=linkedin_document_pdf:1|linkedin_document_transcript:1; asset_statuses=pdf_text_extracted_pdftotext:1|transcript_captured:1,No high-value external source captured.,Reliability limits of multi-period normal tests,Simulaciones del deck muestran inflacion de error tipo I con pocos periodos y bajo autocorrelacion; la normalidad multi-periodo no es un pase automatico.,Agregar caveat a PD validation/reviewer bank; simular localmente solo si cambia appendix de backtesting.,Mini libro CRPTO reviewer-defense; tesis validation chapter.,promote_as_caveat,Cerrado cuando el caveat quede documentado y no se use para sobreprometer una prueba alternativa.,closed,Necesita fuente independiente antes de ser cita publica fuerte.,Deck PDF local extraido.
ANDRIJA-POST-006,indexed_andrija_post,7451153797881618432,https://www.linkedin.com/posts/andrija-djurovic_smipymanual-activity-7451153797881618432-tf0b,𝐬𝐦𝐢: 𝐀𝐧 𝗣𝘆𝘁𝗵𝗼𝗻 𝐏𝐚𝐜𝐤𝐚𝐠𝐞 𝐟𝐨𝐫 𝐈𝐅𝐑𝐒𝟗 𝐅𝐨𝐫𝐰𝐚𝐫𝐝-𝐋𝐨𝐨𝐤𝐢𝐧𝐠 𝐌𝐨𝐝𝐞𝐥𝐢𝐧𝐠,linkedin_deck_pdf_extracted_plus_github_manual,asset_types=external_link:1|linkedin_document_pdf:1|linkedin_document_transcript:1; asset_statuses=pdf_text_extracted_pdftotext:1|pending_external_source_review:1|transcript_captured:1,readable_sources=1; source_types=github:1; reading_statuses=readable_http_200:1,Supervised Macroeconomic Index for IFRS9 FLI,"SMI aborda series macro cortas mediante estructura supervisada, promedios de modelos/constrained OLS y explicabilidad para IFRS9.",Mantener como lane de tesis IFRS9; no mover body IJDS salvo como limitacion/agenda.,Tesis IFRS9 chapter; CRPTO limitations.,append_to_thesis_lane,Parar al registrar SMI como expansion futura; no convertir IJDS en paper IFRS9.,closed,Software/contexto tecnico; usar resultados solo si se reproducen localmente.,Deck PDF local extraido y manual externo leido.
ANDRIJA-POST-007,indexed_andrija_post,7448618361606873088,https://www.linkedin.com/posts/andrija-djurovic_lgdeadsomersdandconservatism-activity-7448618361606873088-godV,𝗦𝗼𝗺𝗲𝗿𝘀’ 𝗗 𝗶𝗻 𝗟𝗚𝗗 𝗮𝗻𝗱 𝗘𝗔𝗗 𝗠𝗼𝗱𝗲𝗹𝗶𝗻𝗴 - 𝗜𝗺𝗽𝗮𝗰𝘁 𝗼𝗳 𝗖𝗼𝗻𝘀𝗲𝗿𝘃𝗮𝘁𝗶𝘀𝗺 𝗼𝗻 𝗗𝗶𝘀𝗰𝗿𝗶𝗺𝗶𝗻𝗮𝘁𝗼𝗿𝘆 𝗣𝗼𝘄𝗲𝗿,linkedin_deck_pdf_extracted,asset_types=external_link:1|linkedin_document_pdf:1|linkedin_document_transcript:1; asset_statuses=pdf_text_extracted_pdftotext:1|pending_external_source_review:1|transcript_captured:1,readable_sources=1; source_types=github:1; reading_statuses=readable_http_200:1,LGD/EAD Somers D under conservatism,La conservatividad regulatoria puede distorsionar la lectura de poder discriminante en LGD/EAD si se evalua el output final ajustado.,Guardar para tesis LGD/EAD y MRM; no impacta el champion PD.,Tesis; Paper 4 si se abre LGD/EAD diagnostic lane.,park_for_thesis,Cerrado al separar PD del lane LGD/EAD y registrar que no cambia claims IJDS actuales.,closed,No extrapolar a PD sin experimento especifico.,Deck PDF local extraido.
ANDRIJA-POST-008,indexed_andrija_post,7446081646761738240,https://www.linkedin.com/posts/andrija-djurovic_pdmoccegimimpact-activity-7446081646761738240-U3Tc,𝗤𝘂𝗮𝗻𝘁𝗶𝗳𝗶𝗰𝗮𝘁𝗶𝗼𝗻 𝗼𝗳 𝗠𝗼𝗖 𝗧𝘆𝗽𝗲 𝗖 𝗶𝗻 𝗣𝗗 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗢𝗻 𝘁𝗵𝗲 𝗔𝗴𝗴𝗿𝗲𝗴𝗮𝘁𝗲 𝗘𝗳𝗳𝗲𝗰𝘁 𝗼𝗳 𝗥𝗲𝗴𝘂𝗹𝗮𝘁𝗼𝗿𝘆 𝗥𝗲𝗾𝘂𝗶𝗿𝗲𝗺𝗲𝗻𝘁𝘀 𝗼𝗻 𝗖𝗼𝗻𝘀𝗲𝗿𝘃𝗮𝘁𝗶𝘀𝗺 𝗟𝗲𝘃𝗲𝗹𝘀,linkedin_deck_pdf_extracted,asset_types=linkedin_document_pdf:1|linkedin_document_transcript:1; asset_statuses=pdf_text_extracted_pdftotext:1|transcript_captured:1,No high-value external source captured.,MoC Type C aggregate conservatism,La cuantificacion de MoC Type C puede variar mucho segun metodo y supuestos; es una advertencia de gobernanza mas que un algoritmo unico.,Usar como caveat de MRM/calibration; implementar solo si se define appendix de MoC con claim verificable.,Tesis governance; Paper 4 optional appendix.,park_with_claim_gate,Parar si no cambia un claim de conservatism/materiality; no inflar IJDS.,closed,Requiere fuentes regulatorias/academicas para cita publica.,Deck PDF local extraido.
ANDRIJA-POST-009,indexed_andrija_post,7441019641449050113,https://www.linkedin.com/posts/andrija-djurovic_2sidedexactbinomialtest-activity-7441019641449050113-ZZ-g,𝗕𝗮𝗰𝗸𝘁𝗲𝘀𝘁𝗶𝗻𝗴 𝗣𝗿𝗼𝗯𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝗼𝗳 𝗗𝗲𝗳𝗮𝘂𝗹𝘁 𝗠𝗼𝗱𝗲𝗹𝘀 - 𝗧𝗵𝗲 𝗧𝘄𝗼-𝗦𝗶𝗱𝗲𝗱 𝗘𝘅𝗮𝗰𝘁 𝗕𝗶𝗻𝗼𝗺𝗶𝗮𝗹 𝗧𝗲𝘀𝘁,linkedin_deck_pdf_extracted,asset_types=linkedin_document_pdf:1|linkedin_document_transcript:1; asset_statuses=pdf_text_extracted_pdftotext:1|transcript_captured:1,No high-value external source captured.,Two-sided exact binomial PD backtesting,El test exacto bilateral binomial ya esta alineado con la suite de validacion local.,Mantener como source trace; no se requiere nueva implementacion porque el proyecto ya cubre exact binomial/Jeffreys/z/HL.,Mini libro CRPTO validation appendix; docs ADSFCR.,already_implemented_append_trace,Cerrado cuando los tests locales sigan cubriendo binomial exacto y el post no se use como evidencia unica.,closed,"Usar solo como contexto de implementacion, no como cita publica final.",Deck PDF local extraido.
ANDRIJA-POST-010,indexed_andrija_post,7463579851317239808,https://www.linkedin.com/posts/andrija-djurovic_activity-7463579851317239808-vGpI,LinkedIn post,public_capture_generic_linkedin_text,No visible attachment captured.,No high-value external source captured.,Blocked public LinkedIn post,La captura publica devolvio texto generico de LinkedIn; no hay contenido tecnico verificable.,"Ninguno; reabrir solo con permalink legible, captura logueada o fuente canonica externa.",Archive.,archive_blocked,Cerrado por blocker publico documentado; no inferir contenido desde snippets.,closed_blocked_public_capture,No usar en claims.,Bloqueado sin sesion visible desde Linux.
