source,why_it_matters_for_paper1,recommended_paper1_surface,ijds_candidate,thesis_candidate,claim_boundary
Paper 4 one-page architecture,Positions CRPTO inside a broader governed decision-analytics program,related work or discussion,maybe,yes,Use as positioning only; do not make Paper 4 a second contribution inside Paper 1
F04 CVaR/OCE tail challenger,Answers why the economic champion was not replaced by a direct tail-risk objective,appendix or reviewer-defense table,yes,yes,Tail-risk challenger only; not the official objective and not a champion replacement
F05 online/source conformal caveat,Improves honesty about online deployment and source-family fragility,limitations and future work,yes,yes,No online deployment claim and no universal source-family guarantee
Powell SDAM framing,Classifies CRPTO as an auditable one-period CFA policy under a decision-science vocabulary,discussion framing,yes,yes,Framing only; no claim of exact DLA or Bellman optimality
Paper 2 absorption via Paper 4,Shows conformal intervals can feed ECL/SICR proxy diagnostics without changing the paper's core method,applied implication or appendix,maybe,yes,IFRS9-inspired proxy only; not contractual IFRS9
Source governance and fairness proxy,Adds model-risk-management and ethical implication language for observable source groups,limitations or governance appendix,yes,yes,Proxy governance only; no legal fair-lending certification
CROMS-lite decision-aware selector,Shows a path toward decision-aware conformal selection while keeping current CRPTO post-hoc,appendix or future work,maybe,yes,Screen over finalists only; not end-to-end decision-aware training
Claim-artifact-test map,Strengthens reproducibility and reviewer confidence by mapping every major claim to files and guardrails,supplement or reproducibility appendix,yes,yes,Traceability evidence only; if a number conflicts with promotion JSON the promotion file wins
Quarto plus DVC plus MLflow companion,Makes the research artifact navigable for thesis defense and possible journal reproducibility disclosure,supplement and thesis artifact chapter,maybe,yes,Companion surface only; not an additional empirical result
Loop-closure and anti-scope governance,Documents how exploratory loops were stopped and how non-contributory artifacts were parked or deleted,thesis methods or research-governance appendix,no,yes,Do not include procedural loop history in the IJDS main paper
